n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e
3550.1,3706.2,3857,4018.2,4174.5,4330.1,4435.9,NaN,4614.8,4758.1,4966.2,NaN,5044,5225.8,5384.2,5483.4,NaN,5662.4,5815.5,6022.4,NaN,6100.2,6278,6428,6536.4,NaN,6723.3,6871.8,7079.4,NaN,7157,7350.8,7505.2,7659.8,7762.9,NaN,7945.1,8112.5
3606.3,3784,3939.2,4098.2,4254.3,4407.5,NaN,4555.1,4698.2,4842.5,NaN,5011.4,5099.1,5286,5460.1,NaN,5602,5757.3,5899.1,NaN,6067.3,6152.7,6343.3,6506.5,NaN,6653.5,6806.7,6958.5,NaN,7124.9,7206.2,7419,7584.3,7736.7,NaN,7881.8,8041,8194.8
