n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,n,n,n,a,b,l
8016.7,8207.7,8363.5,8524.1,8688.3,8860.6,9020.4,9123,NaN,9306.3,9447.7,9651.8,NaN,9728.4,9908.2,10059,10159,NaN,10340,10485,10690,NaN,10765,10955,11118,11280,11387,NaN,11564,11719,11923,NaN,12001,12184,12338,12487,12593,NaN,12777,12927,13131,NaN,13210,13406,13556,13707,13808,NaN,13995,14137,14299,NaN,14434,14590,14766,14879,NaN,15066,15645,15805,15957,16058,NaN,16239
8095.6,8260.5,8442.9,8606.6,8770.1,8943.5,9099.2,NaN,9244.4,9389.5,9529.5,NaN,9701.8,9791.6,9975.2,10134,NaN,10274,10436,10569,NaN,10739,10823,11022,11198,11363,NaN,11504,11659,11803,NaN,11975,12066,12251,12435,12565,NaN,12709,12873,13010,NaN,13180,13262,13478,13636,13783,NaN,13929,14090,14223,NaN,14401,14500,14676,14846,NaN,14997,15156,15711,15887,16029,NaN,16180,16293
