n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e
1899.5,1994.7,2196.3,2359,2523.7,2685.1,2842.4,3013.2,3158.7,3316.9,3480.7,3589.2,NaN,3764.5,3917,4121,NaN,4199,4387.3,4545.3,4648.6,NaN,4827.1,4983.7,5190.4,NaN,5267.8,5450.3,5624.5,5773.9,5875.5,NaN,6054.1,6209,6416.8,NaN,6496,6698.9,6858.4,7009.4,7111.2,NaN,7285.9,7438.7,7647.3,NaN,7722.9,7897.6,8058.9,8210,8314,NaN,8499.8,8642.5,8850.2,NaN,8930.1,9113.3,9275.1,9395,9749.3,9899.1,10056,10159,NaN,10346,10504,10695,10811,10918,11118,NaN,11300,11466,11675,NaN,11756,11949,12450,12596,12756,12859,NaN,13040,13196
1938.2,2106.7,2270.8,2428.9,2594.1,2758.6,2919.7,3062.5,3238.5,3404.6,3559.4,NaN,3711.2,3853.7,3999.2,NaN,4172.8,4265.6,4457.2,4624.2,NaN,4774,4935.7,5068.7,NaN,5238.8,5325.9,5519.9,5706.3,5852.6,NaN,5997.3,6158,6290.8,NaN,6463.1,6549.2,6759.5,6942.1,7087.6,NaN,7234.8,7391.8,7523.9,NaN,7696.1,7779.1,7966.3,8141.2,8289.3,NaN,8436.4,8589.4,8728.1,NaN,8895.6,8986.5,9182.7,9359.8,9476.3,9817.2,9982.5,10132,NaN,10283,10434,10589,10775,10882,10982,NaN,11247,11397,11549,NaN,11725,11812,12016,12516,12682,12836,NaN,12984,13140,13282
