n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b
2233.6,2428.1,2598.9,2769.8,2949.4,3124.1,3294.3,3470.3,3585.6,NaN,3763.6,3919.7,4133.9,NaN,4213.1,4409.3,4575.3,4680.4,NaN,4872.2,5026.7,5239.6,NaN,5319.4,5511.2,5685.3,5848,5982.2,6165.8,NaN,6360.9,6509,6724.2,NaN,6806.8,6988.5,7162.2,7330.5,7435.8,NaN,7629.8,7784.1,8003.2,NaN,8084.9,8277.3,8459.5,8592.7,8772.1,NaN,8960.1,9122.9,9341.9,NaN,9424.1,9595.9,9766.2,9911.7,10100,NaN,10295,10445,10662,NaN,10747,10932,11121,11276,11402,11602,NaN,11783,11940,12159,NaN,12244,12429,12602,12739,12904,NaN,13135,13289,13553,13669,13780,13978,NaN,14164,14329,14593,NaN,14676,14859,15034,15164,15362,NaN,15550,15713,15868,NaN,16020,16193,16378,16544,16711,NaN,16908,17078,17324,17447,17559,17753,NaN,17944,18122,18394,NaN,18477,18670,18837,18963,19164,NaN,19354,19509,19713,NaN,19862,20078,20246,20368,20573,NaN,20772,20932,21317,21485,21661,21770,NaN,21956,22124,22345,22476,22588,22849,NaN,23041,23199,23499,NaN,23581,23774,23949,24073,24291,NaN,24489,24652,24958,25087,25196,25406,NaN,25604,25766,26014,26153,26268,26468,NaN,26666,26830,27043,27180,27297,27501,NaN,27693,27863,28125,NaN,28208,28380,28581,28729,28949,NaN
2296.9,2503.4,2678.1,2853,3034,3210.9,3380.7,3555.2,NaN,3705,3868.6,4009.7,NaN,4184.4,4274.8,4481.4,4657.7,NaN,4805.1,4971.9,5115.8,NaN,5289.1,5384,5583.4,5769.7,5930.7,6047.5,NaN,6298.8,6461,6599.2,NaN,6774.5,6869.4,7062.7,7249.1,7413.5,NaN,7561.8,7729.9,7871.7,NaN,8049.8,8148.5,8350.6,8544.6,8662,NaN,8907.8,9069.7,9211.1,NaN,9392.6,9486.2,9665.3,9852.3,9990.1,NaN,10231,10388,10537,NaN,10714,10804,11003,11209,11365,11479,NaN,11731,11894,12033,NaN,12211,12308,12498,12685,12815,NaN,13070,13238,13377,13631,13748,13847,NaN,14112,14280,14419,NaN,14642,14740,14931,15121,15246,NaN,15497,15661,15802,NaN,15980,16093,16262,16461,16584,NaN,16846,17009,17165,17405,17523,17637,NaN,17888,18052,18212,NaN,18447,18542,18744,18924,19050,NaN,19297,19464,19601,NaN,19826,19933,20151,20330,20434,NaN,20710,20878,21021,21388,21570,21747,NaN,21898,22057,22213,22429,22554,22655,NaN,22985,23149,23292,NaN,23549,23637,23845,24035,24167,NaN,24432,24589,24740,25038,25165,25263,NaN,25541,25705,25854,26093,26233,26330,NaN,26604,26772,26919,27127,27260,27359,NaN,27635,27801,27952,NaN,28176,28265,28447,28666,28809,NaN,29081
