n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,n,n,n,a,b,l,e
4073.3,4220.9,4367.3,4528.6,4689.1,4845,5001.5,5162.1,5264.9,NaN,5447,5602.8,5803.9,NaN,5880.9,6069.1,6221.5,6321,NaN,6503.7,6668.4,6989.5,7138,7301.1,7397.4,NaN,7584.8,7738.2
4116.9,4272.7,4450.6,4610.9,4772.2,4929.2,5087.4,5241.4,NaN,5387.6,5527.9,5681.9,NaN,5852.8,5935.9,6131,6294.6,NaN,6439.5,6579.6,6744.9,7046.8,7221.4,7371.3,NaN,7519.3,7672.5,7824.3
