n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,n,n,n,a,b,l,n,n,f,a,b,l,e
7842.7,7988.2,8126.3,8293.4,8469.7,8645,8814.8,8977.8,9128.2,9291.4,9455.6,9610.4,9734.3,NaN,9910.8,10058,10266,NaN,10347,10525,NaN,10712,10859,11062,NaN,11140,11337,NaN,11515,11672,11878,NaN,11955,12150,NaN,12338,12500,12708,NaN,12785,12971,13092,13296,13462,13608,13783,NaN,13963,14111,14316,NaN,14395,14575,14726,14880,14982,15046,NaN,15177,15323,15572,NaN,15650,15830,15986,16142,16245,NaN,16421,16864,17011,17173,17273,NaN,17457,17844,18007,18127,18312,NaN,18501,18654
7892.2,8044.1,8196.9,8363.9,8544.9,8719.3,8891.8,9050,9208.3,9375.3,9540.2,9697.8,NaN,9857.8,10006,10144,NaN,10312,10409,NaN,10654,10814,10941,NaN,11111,11202,NaN,11462,11615,11756,NaN,11925,12015,NaN,12275,12425,12579,NaN,12754,12837,13028,13237,13382,13542,13677,NaN,13902,14062,14195,NaN,14362,14446,14641,14808,14957,15019,NaN,15100,15225,15408,NaN,15620,15706,15893,16066,16217,NaN,16368,16494,16929,17091,17247,NaN,17390,17544,17907,18089,18198,NaN,18442,18581,18741
