n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f
4604.7,4761.1,4931.6,5096.2,5252.8,5407.7,5557.5,5705.8,5808.5,NaN,5988.2,6140.1,6343,NaN,6420.6,6591.6,NaN,6761.9,6920.3,7121.7,NaN,7199.2,7394.4,7544.7,7654.2,NaN,7837.4,7981.2,8184.3,NaN,8262.4,8443.2,8601.9,8704.2,NaN,8885.3,9031.1,9256,NaN,9331.4,9504.3,9659,9807.7,9911,NaN,10086,10237,10450,NaN,10528,10655,10850,11000,11100,NaN,11286,11434,11696,NaN,11773,11942,12100,12229
4638.3,4812.2,5013.7,5178.3,5334.3,5490.7,5640,5784.9,NaN,5926.1,6076.4,6221.2,NaN,6393.8,6478.3,NaN,6722.8,6860.4,7000.9,NaN,7171.1,7256.4,7456.4,7626,NaN,7772.6,7926,8061.5,NaN,8233.9,8318.5,8509.6,8677.7,NaN,8822.7,8973.4,9160.7,NaN,9304.3,9391.9,9568.5,9740.9,9886.4,NaN,10030,10184,10317,NaN,10498,10585,10748,10935,11077,NaN,11221,11366,11517,NaN,11746,11830,12004,12186,12311
