n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n
2207.3,2365.8,2527.9,2689.9,2841.6,3002.6,3157.9,3313.6,3466.1,3564.5,NaN,3746.2,3898,4098.2,NaN,4176.6,4376.2,4532.5,4621.7,NaN,5038.7,5183.1,5339,5436.4,NaN,5619.1,5760.3,5967.6,NaN,6044.1,6214.2,6364.8,6515.8,6618,NaN,6798.4,6943.2,7149.3,NaN,7226.4,7416.4,7576.7,7697.6,7876.6,NaN,8064.6,8212.9,8475.8,8613.8,8729.3,9127.2,9300.2,9469.9,9563.1,NaN,9767.9,9909.8,10223,NaN,10298,10460,10673,10786,10986,NaN,11172,11324,11746,11978
2254.6,2447.4,2610.6,2775.5,2925.4,3087.2,3243,3399.5,3539.6,NaN,3688.1,3828.4,3978.8,NaN,4147.6,4233.4,4440.1,4608.9,NaN,4744.3,5104.6,5271.2,5414,NaN,5554.8,5712.6,5842.6,NaN,6018.9,6105.3,6282.4,6446.3,6598.5,NaN,6737.4,6885.2,7032.5,NaN,7200.5,7283.2,7482.8,7660.7,7775.3,NaN,8007.3,8158.1,8302,8546.6,8692.8,8794.4,9183.3,9381.9,9548.1,NaN,9704.1,9830.5,9991.5,NaN,10273,10356,10524,10752,10847,NaN,11110,11265,11403,11870,12061
