n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b
3205.9,3340.9,3503.4,3658.8,3810.7,3964.3,4122,4277.1,4434.7,4599.6,4701.8,NaN,4884.6,5027.5,5235,NaN,5313,5505.1,5652.2,5754.7,NaN,5947.5,6074.2,6286.8,NaN,6364.7,6529.1,6684,6841.5,6938.5,NaN,7120.8,7270.1,7470.1,NaN,7547.1,7724.1,7878,7989.3,NaN,8170.5,8308.3,8517.4,NaN,8595.2,8770.1,8922.2,9070.2,9169.1,NaN,9355.4,9499.4,9706.9,NaN,9787.9,9968.3,10124,10280,10387,NaN,10571,10719,11093,11227,11403,11509,NaN,11696,11844,12136,NaN,12216,12391,12556,12679,12873,NaN,13055,13204,13413,NaN,13493,13699,NaN
3290,3393.6,3578,3737,3894.2,4044.8,4202.7,4360,4520,4676.8,NaN,4821,4977.1,5106.4,NaN,5269.1,5365.7,5564.8,5725.8,NaN,5871.7,6042.8,6179.1,NaN,6329.3,6412.5,6587.8,6760.1,6911.5,NaN,7058.2,7190.2,7346.8,NaN,7516.4,7594.1,7786.4,7956.2,NaN,8105.5,8259.5,8398.3,NaN,8564.7,8650.6,8835.6,9002.1,9145.4,NaN,9285.3,9443.4,9581.8,NaN,9754.3,9841.8,10035,10206,10360,NaN,10507,10664,10807,11156,11325,11481,NaN,11627,11771,11928,NaN,12185,12272,12456,12633,12748,NaN,13001,13151,13288,NaN,13462,13551,NaN,13829
