n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f
3953.4,4106.2,4266.9,4438,4607.2,4752.2,4910.2,5071,5174.3,NaN,5356.9,5502.5,5704.7,NaN,5780.8,5968.7,6141.7,6246.6,NaN,6430.7,6590.9,7376.8,7529.8,7692.8,7794.5,NaN,7977,8138.5,8341.6,NaN,8421.2,8595.9,NaN,8784,8946.5,9230.3,NaN,9316.9
3998.8,4174.7,4336.4,4506.6,4658.8,4837.8,4995,5149.6,NaN,5295.5,5438.7,5584.4,NaN,5756.6,5839.9,6031.3,6223.3,NaN,6367.5,6519,6671.5,7441,7614.1,7772,NaN,7914.5,8055.7,8220.7,NaN,8389.4,8480.3,NaN,8726.3,8873.8,9028.4,NaN,9278.9,9381.3
