n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,n,n,f
2343.8,2493.5,2635.9,2847.8,3205.7,3374.3,3546.5,3706.2,3875.2,4038.8,4140.4,NaN,4324.7,4474.6,4681.4,NaN,4761.3,4961.3,5117,5221.7,NaN,5407.8,5567.7,5896.5,6041.7,6198.9,6298.6,NaN,6488.4,6642.3,6854.3,NaN,6938,7116.6,7283.4,7441.7,7551.6,NaN,7733.9,7883.8,8099.1,NaN,8180.3,8382.4,NaN,8573.5,8720.1,8984.9,NaN,9064.1,9242.2,9408.1,9536,9727.8,NaN,9924.2,10072,10293,NaN,10372,10535,10700,10820,11008,NaN,11201,11360,11783,11933,12097,12204,NaN,12384,12550,12743,12867,12955
2392.7,2565,2724.9,2920.6,3259.7,3454.6,3628.6,3790.6,3954.4,4111.9,NaN,4256.4,4419.2,4558.2,NaN,4727.7,4816.3,5026.2,5190.8,NaN,5342.9,5502.1,5651.2,5959.5,6122.3,6270.1,NaN,6423.7,6573.5,6720.5,NaN,6901.5,7005,7184.1,7364.6,7521.2,NaN,7670.4,7830.1,7968.6,NaN,8146.5,8234.8,NaN,8507.7,8666.5,8805.3,NaN,9031.6,9114.7,9306.3,9488,9605.4,NaN,9857.1,10016,10157,NaN,10341,10458,10597,10781,10900,NaN,11139,11298,11440,11849,12014,12178,NaN,12324,12487,12633,12820,12945,13046
