n,n,n,n,n,n,n,n,n,n,n,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e
3076.1,3266.7,3432.4,3618.1,3829.5,4006.9,4180.1,4355.1,4513.7,4673.3,4827.6,4984.9,5145.3,5305.4,5431.8,5610.2,NaN,5802.6,5958.8,6165,NaN,6241.9,6421.8,NaN,6605.3,6753,6962.3,NaN,7043,7214,7368.5,7538.1,7649.7,NaN,7835.3,7987.5,8198,NaN,8278.1,8467.3,8626.7,8749.7,8927.1,NaN,9120.2,9262.8,9469.9,NaN,9549.3,9741.6,9902.2,10032,10216,NaN,10401,10551,10768,NaN,10850,11030,11191,11315,11504,NaN,11697,11847,12055,NaN,12139,12323,12493,12649,12764,NaN,12949,13107
3141.4,3332.5,3497.2,3685,3894.3,4076.7,4302.9,4405.4,4596.2,4756.1,4908.6,5069.1,5229.9,5395.2,5506.1,NaN,5737.8,5891.4,6042,NaN,6213.5,6298.1,NaN,6549.4,6702.5,6837.6,NaN,7009.7,7093,7277.2,7453.3,7622.1,NaN,7772.3,7918.4,8068.9,NaN,8242.8,8347.7,8530.4,8706.5,8820.4,NaN,9055.2,9212.8,9344,NaN,9515.1,9602.7,9804.8,9984.5,10103,NaN,10346,10493,10635,NaN,10820,10906,11092,11277,11383,NaN,11631,11780,11927,NaN,12106,12195,12386,12575,12735,NaN,12886,13042,13193
