n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e
3239,3384.4,3550.3,3708.1,3862.8,4022.2,4162.6,4357.4,4528.2,4637.9,NaN,4815.8,4957.4,5162.1,NaN,5238.2,5420.6,NaN,5599,5755,5956.4,NaN,6033.4,6214.7,6369.5,6466.2,NaN,6661.8,6788.3,6992.2,NaN,7067.4,7255.3,7408.8,7562,7736.1,NaN,7852.5,8002.8,8205.9,NaN,8283.4,8461,8607.2,8765.1,8865.8,NaN,9045.3,9194.8,9398.3,NaN,9476.1,9674.3,9833.4,9997.1,10101,NaN,10284,10440
3282.5,3438.1,3628.6,3790.4,3944.9,4090.1,4262.5,4444.1,4609.4,NaN,4753,4903.3,5039.2,NaN,5213.4,5298.1,NaN,5549,5691.8,5836.2,NaN,6005.1,6092.2,6277.1,6442.2,NaN,6594.9,6705,6867.1,NaN,7036.6,7126.3,7312.7,7490.7,7646,NaN,7787.7,7937.2,8085.3,NaN,8254.4,8340.6,8523.4,8687.2,8842.8,NaN,8984.2,9128.1,9276.6,NaN,9446.6,9528.4,9737,9919.6,10075,NaN,10217,10373,10525
