n,n,n,n,n,n,n,n,n,a,b,l,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,f,a,b,l,e,d,g,n,n,n,n,n,a,b,l,e
3231.3,3405.5,3573.8,3738.9,3892.3,4055.7,4210.8,4392,4572,4676.5,NaN,4862.2,5125.6,5302.4,5462.1,5557.5,NaN,5738.3,5898.9,6173.2,NaN,6237.6,6555.8,6691.2,6859.8,6961.3,NaN,7139.9,7284.1,7483.7,NaN,7558.1,7745.4,7897.2,7996.3,NaN,8181.2,8326,8528.6,NaN,8605.8,8785.2,8936.9,9065.7,9787,9941.3,10092,10195,NaN,10369,10524,10655,10761,10839,11026,NaN,11211,11357,11564,NaN,11639,11825,NaN,12008,12161,12489,12642,12796,12919,13112,NaN,13291,13448,13595,NaN,14528,14676,14834,14973,15135,15244,NaN,15418,15575
3285.8,3487.2,3649.3,3821,3976.6,4136,4293.9,4476.8,4651.7,NaN,4795.6,4938.6,5266.5,5365.4,5537.1,NaN,5677.2,5826.6,5977.1,NaN,6213.7,6313,6624,6789,6939.8,NaN,7078.9,7236.4,7361.8,NaN,7532,7647.5,7815.1,7972,NaN,8116.1,8272.3,8407.9,NaN,8573.7,8663.2,8852,9019.3,9133.7,9837.3,10020,10169,NaN,10312,10463,10605,10692,10806,10898,NaN,11152,11301,11441,NaN,11609,11693,NaN,11947,12108,12240,12557,12720,12875,12991,NaN,13243,13401,13533,NaN,13704,14586,14759,14921,15058,15221,NaN,15364,15524,15657
