n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,n,f,n,n,n,n,n,n,f,a,b,l,e
2250.1,2434.6,2596.3,2750.2,2912.2,3062,3221.9,3319.5,NaN,3504.9,3661.9,3862.8,NaN,3941.2,4123.7,NaN,4309.6,4453.3,4654.8,NaN,4732.8,4919.1,NaN,5103,5250.7,5450.9,NaN,5527.3,5705.3,5869.8,6022.4,6124.3,NaN,6307.8,6454.3,6656.2,NaN,6733,6863.4,7062.6,7220.2,7378.4,7535.5,7701.9,7825.7,8008.4,NaN,8194.1,8338.3,8543.8,NaN,8618.8,8796.6,8957.6,9118.7,9251.2,9439.1,NaN,9625,9770.6,9975.9,NaN,10056,10246,10408,10558,10659,NaN,10841,11011,11212,11325,11430,11619,NaN,11806,11965,12199,12345,12454,13242,13371,13553,13713,13887,14060,14193,14375,NaN,14564,14725
2302.3,2508.5,2671.8,2828.9,2985.4,3146.9,3298,NaN,3437.1,3575.6,3737,NaN,3908.6,3994.6,NaN,4245.6,4391.2,4532.3,NaN,4698.8,4777.2,NaN,5040.3,5169.9,5325.6,NaN,5495.1,5581.9,5765.5,5946.8,6099.4,NaN,6241.5,6371.9,6531.2,NaN,6700.8,6780.8,6954.8,7137,7300.6,7457.6,7616.3,7782.5,7895.3,NaN,8130.5,8267.7,8417.1,NaN,8590.3,8668.3,8860.7,9034.5,9196.7,9319.5,NaN,9562.8,9702.1,9852.4,NaN,10025,10102,10299,10487,10635,NaN,10778,10914,11090,11289,11394,11497,NaN,11743,11896,12045,12264,12418,12527,13295,13466,13636,13792,13966,14145,14263,NaN,14498,14636,14805
