n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1942.2,2080.4,2244.6,2394.6,2563.3,2724,2884.6,3024,3195.6,3349.8,3450.9,NaN,3630.1,3776,3982.5,NaN,4057.9,4240.1,4393.7,4498.7,NaN,4682.2,4828.7,5032.3,NaN,5110.4,5299.7,5454.3,5555.7,NaN,5738.5,5885,6087.1,NaN,6163.8,6339.8,6494.1,6649.7,6750.3,NaN,6933.4,7077.6,7284.6,NaN,7361,7546.1,7700,7857,7980.4,8164.7,NaN,8350.8,8498.3,8703.5,NaN,8784.4,8975.9,NaN,9164.7,9308.6,9518.8,NaN,9598.4,9774.3,9976.1,10087,10280,NaN,10469,10623,10860,10972,11079,11274,NaN,11464,11651,11940,NaN,12019,12206,12384,12524,12713,NaN,12902,13059
2014.2,2127.9,2295.3,2475.7,2646.8,2804.4,2962.7,3126.1,3280.8,3429.3,NaN,3572.2,3722.8,3857.5,NaN,4030.5,4115.2,4303.3,4473,NaN,4619.5,4771.8,4912.2,NaN,5078.2,5170.7,5357.5,5532.5,NaN,5678.1,5821.1,5965.5,NaN,6136.7,6221.7,6405.2,6574.3,6729.6,NaN,6869.7,7010.8,7158,NaN,7329.4,7420.6,7605.4,7778.4,7940.1,8050.9,NaN,8293.6,8434.6,8581.7,NaN,8749.6,8842.4,NaN,9103.8,9252.2,9389.8,NaN,9568.4,9653.2,9837.2,10055,10149,NaN,10406,10554,10707,10926,11047,11135,NaN,11400,11561,11713,NaN,11988,12080,12268,12468,12601,NaN,12839,12990,13138
