n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e
1861,1993.4,2144.8,2318.3,2463.3,2626.2,2788,2937.8,3086.5,3187.2,NaN,3363.9,3526.5,3732.7,NaN,3809.9,4000.5,4159,4257.7,NaN,4437.3,4585.5,4789.4,NaN,4868.6,5056.2,5208.9,5364.2,5470.5,NaN,5655.3,5804.5,6013.3,NaN,6090.9,6275.2,6431.3,6589.7,6688.2,NaN,6865.2,7020.8,7226.9,NaN,7304.7,7486.3,7647.5,7793.6,7899.3,NaN,8077.4,8232.5
1901.7,2045,2210.3,2370.3,2543.6,2711,2885.5,3023.2,3159.9,NaN,3307.8,3456.8,3608.3,NaN,3781.9,3872.2,4066.5,4232.7,NaN,4376.2,4518.4,4670.8,NaN,4836.1,4928.2,5121.2,5293.4,5447.3,NaN,5590.4,5742.7,5887.9,NaN,6061.8,6152.6,6342.1,6513.3,6666.3,NaN,6805.4,6965.5,7104.4,NaN,7274.8,7367,7551.6,7729.8,7872.2,NaN,8018.8,8172.6,8332.3
