n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,n,f
2268.3,2442.8,2657.5,2838.6,3011.1,3189.6,3334.8,3502.3,3662.8,3825.3,3941.3,NaN,4118.8,4276.1,4450.7,NaN,4562.7,4746.3,4903.2,5002.9,NaN,5181.4,5339,5547.2,NaN,5625.9,5801.4,5964.1,6120.9,6228,NaN,6406.7,6562.9,6772.3,NaN,6853.1,7040.4,7197.7,7361.8,7511.3,7618.1,NaN,7799.1,7956.4,8166.4,NaN,8242.1,8426.6,8584.9,8707.1,8894.7,NaN,9078.7,9232.7,9439.7,NaN,9502.5,9731.8,9902.7,10066,10245,10463,10588,10696
2314.2,2507.5,2725.7,2908.7,3079.5,3239.9,3421.4,3591.2,3745.4,3910.6,NaN,4060.1,4221.1,4360.2,NaN,4530.2,4620,4813.9,4979,NaN,5129.7,5278.8,5421.1,NaN,5595,5687.4,5865.9,6046.9,6201.9,NaN,6346.7,6490.2,6652.1,NaN,6819.9,6909.8,7102.4,7280.1,7447,7590,NaN,7738.5,7902.1,8042.6,NaN,8211.8,8302.8,8494.2,8667.5,8779.3,NaN,9027.2,9184,9316.2,NaN,9491.5,9572.1,9796.4,9984.2,10151,10332,10541,10664,10752
