n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,n,n,n,f,a,b,l,e,n
2963.1,3047.7,3257.2,3430.3,3580.8,3754.6,3912.6,4063.6,4215.8,4375.3,4527.4,4632.9,NaN,4802.8,4955.6,5163.7,NaN,5239.8,5417.1,5573,5678.7,NaN,5847.7,6002.8,6207.7,NaN,6287.4,6462,6625,6729.4,NaN,6909.5,7056.8,7263.5,NaN,7341.6,7534.5,7692.2,7841.3,7942.2,NaN,8126.7,8273.8,8484.8,NaN,8563.2,8729.7,8891.7,9047.6,9151.5,NaN,9327.2,9486.8,9697.9,NaN,9777.6,9956.7,NaN,10146,10291,10496,NaN,10576,10757,10910,11046,11230,NaN,11418,11577,11797,NaN,11882,12093,12254,12409,12513,NaN,12689,12848,13042,13197,13312,13505,NaN,13685,13848,13999,NaN,14149,14352,NaN,14538,14694,15256,15445,15626,15788,15944,16056,NaN,16245,16397,16856,17013,17183,17330,17509,NaN,17702,17853,18063,NaN,18148,18330,18522,18685,18798,NaN,18988,19330,19494,19666,19827,19987,NaN,20181,20340,20528
3005.9,3167.3,3329,3502.4,3659.9,3828.3,3973.4,4150.5,4299.8,4456.9,4605.9,NaN,4753.7,4915.7,5043.5,NaN,5210.6,5295,5484.3,5653.9,NaN,5796.3,5959.4,6086.7,NaN,6259,6344.4,6531.6,6709.9,NaN,6850.9,7014.3,7140,NaN,7309.9,7399.7,7602.5,7774.4,7921.1,NaN,8059,8224.2,8357.6,NaN,8529,8619.3,8797.1,8969.7,9126.6,NaN,9269,9437.8,9571,NaN,9745.3,9832.1,NaN,10084,10243,10375,NaN,10547,10635,10818,10990,11116,NaN,11361,11518,11660,NaN,11846,11947,12181,12334,12488,NaN,12635,12791,12933,13129,13274,13381,NaN,13636,13797,13935,NaN,14111,14214,NaN,14481,14637,14779,15318,15536,15704,15868,16028,NaN,16175,16332,16484,16917,17094,17264,17399,NaN,17634,17793,17940,NaN,18112,18212,18388,18601,18769,NaN,18923,19083,19395,19575,19752,19865,NaN,20114,20280,20423,20595
