n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f
1994.7,2144.2,2301.3,2402,NaN,2584.6,2727.8,2935.3,NaN,3013.3,3193,3345.6,3493.8,3598.5,NaN,3781,3931.4,4139.2,NaN,4218.4,4401.6,4572.6,4701.6,4900.5,NaN,5088.6,5235.7,5446,NaN,5530.2
2059.1,2227.4,2381.1,NaN,2519.9,2662.2,2810.5,NaN,2985.2,3071.5,3258.9,3425.7,3573.3,NaN,3714.6,3881.4,4011.8,NaN,4186.4,4275.8,4471.5,4652.3,4785.5,NaN,5026.5,5183.1,5319.4,NaN,5495.4,5580.2
