n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e
1988,2130.7,2284.8,2448.2,2604.6,2760.6,2920.8,3089.2,3249.8,3417.6,3520.4,NaN,3700.4,3849.3,3959.3,NaN,4128.3,4305.2,4452.6,4552.6,NaN,4734.1,4877.8,5080.2,NaN,5156.5,5349.2,5502.2,5658.5,5761.6,NaN,5944.2,6089.4,6302.9,NaN,6380.4,6568.1,6724.9,6879.1,6978.1,NaN,7159.2,7310,7512.7,NaN,7593.8,7768.2,7924.9,8078.2,8182.5,NaN,8363.8,8520.8
2024.9,2187,2364.1,2524.8,2684.7,2839.7,3002.2,3168.4,3333.1,3495,NaN,3636.2,3775.5,3928.4,NaN,4095.2,4176.8,4370.8,4525.2,NaN,4668.4,4822.7,4960.5,NaN,5125.1,5219.1,5411.4,5584.2,5735.9,NaN,5879.2,6030.9,6170.7,NaN,6352.1,6439.4,6631.9,6802,6956.9,NaN,7094.8,7254.6,7390.2,NaN,7558.6,7646.6,7830.4,8005,8153,NaN,8300,8458,8602.4
