n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2714.5,2902.2,3073.2,3248.4,3404.4,3569.4,3743.7,3913.4,4054.6,4208.9,4367.5,4496.3,NaN,4678.3,4826.5,5033,NaN,5113.4,5290.7,5448.8,5601.7,5704,NaN,5880.3,6036.7,6245,NaN,6327.1,6506,6657.7,6764.4,NaN,6950.7,7097.9,7305.4,NaN,7384.3,7556.5,7718.4,7880.6,7984.3,NaN,8166.6,8317.5,8536.5,NaN,8615.2,8786.2,8945.6,9101.3,9210.8,NaN,9395.1,9560.8,9955.2,10806,10959,11119,11224,NaN,11402,11560,11741,NaN,11858,12026,12185,12309,12495,NaN,12682,12834,13046,NaN,13128,13315,13510,13631,13833,NaN,14024,14175,14389,NaN,14469,14637,14812,14945,15137,NaN,15331,15492
2759,2974.2,3143.8,3324.3,3488.2,3646.5,3817.2,3963.8,4131.8,4292.9,4452.2,NaN,4618.4,4767,4906.8,NaN,5083.2,5166.8,5361.2,5527.5,5676,NaN,5823.2,5989.2,6122.5,NaN,6297,6385.6,6571.7,6738,NaN,6889.4,7035.6,7183.1,NaN,7355.1,7449.9,7626.2,7797.3,7958.7,NaN,8103.4,8264.5,8402.4,NaN,8584.9,8668.4,8853.4,9026.7,9179.9,NaN,9332.2,9493.8,9643.4,10022,10856,11039,11194,NaN,11345,11501,11644,NaN,11815,11922,12098,12268,12379,NaN,12627,12785,12922,NaN,13094,13182,13377,13588,13704,NaN,13957,14124,14261,NaN,14439,14524,14705,14891,15016,NaN,15266,15428,15575
