n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,n,n,n,n,n,f,a,b,l,e,n,n,n,f,n,n,f,a,b,l,e
2408.6,2522,3810.2,3954.6,4132.6,4414.5,4582.7,4800.9,4970.3,5146.3,5311.3,5483.6,5650.1,5756.1,NaN,5937.8,6086.3,6299,NaN,6377.7,6581.6,6746.2,6874,7069.2,NaN,7255.4,7418.6,7629.5,NaN,7709.5,7896.7,8061.1,8183.4,8379.1,NaN,8570.1,8719.4,8929.9,NaN,9008,9184.3,9352.6,9509,9643.5,9832.9,NaN,10020,10183,10392,NaN,10470,10702,10861,11017,11142,11330,NaN,11514,11682,12062,12228,12358,12499,NaN,12730,12890,13095,13224,13329,13513,NaN,13696,13864,14097,14217,14322,14678,14796,15020,15137,NaN,15317,15483,15776,15895,16007,16227,NaN,16416,16585,16795,NaN,16874,17091,17275,17440,17563,17773,NaN,17958,18128,18736,18903,19020,19211,NaN,19397,19572,19780,NaN,19870,20071,20253,20395,20555,NaN,20770,20938,21147,NaN,21236,21451,21610,21722,21929,NaN,22114,22655,22823,22992,23167,23376,23491,23722,NaN,23908,24081,24620,24729,24956,25075,25433,25595,25778,25981,NaN,26165,26325
2466.9,2665.4,3858.5,4028,4203.2,4487.9,4647.3,4858.4,5053.6,5228.2,5391.8,5564.3,5729.7,NaN,5878.2,6032.2,6171.1,NaN,6346,6439.3,6646.3,6830.8,6953.9,NaN,7205.7,7358.4,7504.3,NaN,7680.2,7764.3,7960.4,8141,8262.7,NaN,8508.2,8675.1,8806,NaN,8977.3,9072.8,9251.4,9433.8,9595.7,9722.6,NaN,9966.8,10131,10270,NaN,10440,10529,10773,10943,11100,11220,NaN,11457,11623,11767,12131,12312,12433,NaN,12680,12836,12975,13168,13298,13397,NaN,13645,13806,13952,14174,14292,14383,14745,14979,15104,NaN,15259,15415,15570,15858,15971,16065,NaN,16359,16519,16668,NaN,16845,16953,17164,17360,17522,17650,NaN,17904,18066,18213,18807,18982,19137,NaN,19345,19509,19659,NaN,19840,19934,20140,20335,20474,NaN,20713,20881,21025,NaN,21209,21301,21520,21691,21787,NaN,22064,22222,22722,22907,23077,23251,23456,23560,NaN,23854,24017,24167,24685,24848,25039,25160,25502,25677,25819,NaN,26116,26275,26410
