n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e
2698.9,2843.9,3018.5,3157.5,3365,3534.5,3698.8,3885.2,4048.8,4200,4366.1,4525.7,4686.8,4793.1,NaN,4971.6,5131.1,5345.2,NaN,5427.8,5595.5,5757,5915.5,6017.9,NaN,6194.3,6352.9,6549.8,NaN,6640.6,6813.9,6981.4,7136.4,7239,NaN,7425.8,7579.9,7788.7,NaN,7869.6,8003.1,8215.8,8386.2,8491.2,NaN,8675,8837,9080.9,NaN,9162.5,9343.1,NaN,9535.4,9684.1,9898.2,NaN,9983.1,10175,10344,10466,10663,NaN,10844,11003,11221,NaN,11302,11490,11660,11791,11982,NaN,12167,12347,12556,NaN,12637,13175,13329,13492,13648,13836,NaN,14023,14181
2748.6,2917.2,3092.2,3258.8,3436.8,3604.3,3779.4,3947.8,4135.3,4284.5,4446.3,4612,4768.8,NaN,4913.7,5078.8,5218.7,NaN,5392.9,5485.2,5665,5844.4,5993.3,NaN,6139.4,6303.5,6437.4,NaN,6611.6,6701.7,6884.3,7064.6,7216,NaN,7360.1,7518.5,7661.5,NaN,7836.1,7923.9,8108.2,8304.6,8470.9,NaN,8616.5,8788.5,8918.7,NaN,9127.4,9217.7,NaN,9471.4,9635.7,9768.3,NaN,9945.2,10053,10247,10429,10547,NaN,10791,10956,11089,NaN,11271,11363,11560,11744,11863,NaN,12116,12282,12430,NaN,12605,12694,13239,13412,13573,13724,NaN,13966,14129,14270
