n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e
1983.9,2083.5,2275.7,2443.4,2595.9,2762.6,2943.4,3092.9,3249.8,3412.1,3573.2,3675.8,NaN,3859.7,4010.2,4217.6,NaN,4292.8,4481.2,NaN,4669.5,4816.3,4991.7,NaN,5101.1,5300.3,5467.6,5573.1,NaN,5757,5918.6,6126.5,NaN,6199.7,6386.7,6550.9,6704.2,6806.9,NaN,6992.1,7153.4
2026.7,2174.5,2345.2,2512.2,2669.8,2841.9,2998.7,3175.5,3336.9,3497.6,3653.2,NaN,3796.3,3948.2,4091.6,NaN,4267.8,4349.4,NaN,4608.6,4757.8,4903.3,NaN,5071.3,5158.4,5366.4,5546.2,NaN,5694,5842.7,6003.1,NaN,6177.7,6272.3,6452.9,6635.3,6784.2,NaN,6926.3,7082.7,7235.8
