n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l
2107.4,2304.1,2469.2,2627.7,2781.2,2938.4,3103.6,3204.8,NaN,3388,3540,3743.2,NaN,3823.7,4022.2,NaN,4201.2,4347.7,4554.9,NaN,4633.3,4808.1,4973.9,5075.2,NaN,5257.7,5406.6,5614.1,NaN,5693.4,5876.3,6034.8,6178.1,6281,NaN,6462.6,6612.8,6816.7,NaN,6894,7075.2,7227.1,7355.2,7537.7,NaN,7728,7878.8,8261.2,8405.9,8563.9,8669.1,NaN,8844.2,9001.5,9225.8,NaN,9303.7,9502.5,9688.2,9848.8,9949.2,NaN,10130
2189.2,2383,2548.8,2706.4,2865.7,3023.2,3178.9,NaN,3327.5,3474.2,3619.8,NaN,3795.8,3876.5,NaN,4142.1,4281.1,4431.8,NaN,4602.3,4690.3,4873.5,5049.9,NaN,5193.8,5346.4,5488.6,NaN,5664.3,5750.7,5936.1,6114.3,6253.3,NaN,6398.5,6550.3,6694.4,NaN,6866.4,6952.5,7139.4,7307.8,7424.1,NaN,7668.4,7826.2,7963.6,8315.7,8489.2,8645.2,NaN,8787.2,8935,9081.8,NaN,9274.5,9364,9566.3,9772.3,9924,NaN,10072,10229
