n,n,n,n,n,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,n,n,n,f,a,b,l
4737.8,4903.3,5051.1,5208.6,5364.4,5511.4,5668.6,5828.5,5961.4,6159.4,NaN,6334.9,6481.4,6688.4,NaN,6765.4,6940,NaN,7125.4,7271.5,7474.4,NaN,7549.1,7726.6,NaN,7909.1,8055.4,8258.8,NaN,8336.3,8530.7,NaN,8716.1,8859.9,9063.6,NaN,9141.7,9314.9,9467.3,9618.8,9739.7,9916.4,NaN,10104,10248,10533,10686,10847,10962,11149,NaN,11328
4839.1,4944.9,5130.3,5288.3,5443.7,5594.4,5748.9,5908.6,6029.7,NaN,6279.9,6426.3,6568.2,NaN,6738.6,6827.3,NaN,7067.6,7219.1,7355.1,NaN,7524.1,7605.8,NaN,7852.5,7995.9,8137.6,NaN,8305.5,8395.3,NaN,8658.2,8810.1,8943.5,NaN,9109.3,9195.3,9378.2,9545.6,9698.7,9807.7,NaN,10043,10197,10331,10598,10769,10927,11021,NaN,11271,11414
