n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1992.3,2150.9,2338.8,2539.2,2687.1,2847,3004.5,3161.8,3322.6,3473.2,3626.6,3788.2,3895.6,NaN,4079.7,4226.9,4700.7,4855.7,4970.2,NaN,5153.4,5306.9,5499.4,NaN,5587.2,5777.1,NaN,5967,6114.9,6323.9,NaN,6405.7,6584,6738.9,6897,7000.6,NaN,7185.2,7338.8,7579.6,NaN,7658.3,7826.4,7999.6,8119.6,8298.9,NaN,8486.3,8640.3,8885.5,NaN,8966.2,9143.4,9297.8,9408.4,9599.2,NaN,9787.5,9948.9
2043.7,2222.2,2405.4,2583.6,2768.8,2928.4,3087.4,3241.8,3405.7,3572.1,3715.8,3869.8,NaN,4017.8,4168.6,4311.5,4764.1,4939.8,NaN,5093.3,5252.9,5388.4,NaN,5560.8,5647.8,NaN,5905.5,6064.7,6198.7,NaN,6370.7,6469.6,6648.5,6820.2,6975.6,NaN,7118.6,7279.1,7424.9,NaN,7631.9,7717.9,7891.2,8079.9,8188,NaN,8428.8,8561.5,8724.5,NaN,8933.4,9021.2,9209.9,9372.8,9474.4,NaN,9727,9883.8,10033
