n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e
10710,10868,11037,11201,11368,11508,11662,11816,11971,12058,NaN,12262,12406,12606,NaN,12691,12869,NaN,13047,13195,13391,NaN,13459,13648,13795,13894,NaN,14086,14228,14410,NaN,14511,14918,15074,15241,15333,NaN,15523,15673,15901,NaN,16011,16157,16302,16445,16543,NaN,16725,16871,17076,NaN,17135,17339,NaN,17516,17664,17896,NaN,17972,18152,18305,18418,18628,NaN,18804,18954,19386,19533,19688,19794,NaN,19986,20130,20337,NaN,20423,20605,20771,20926,21033,NaN,21217,21382
10748,10926,11099,11268,11418,11589,11738,11897,12050,NaN,12208,12319,12481,NaN,12652,12766,NaN,12984,13122,13270,NaN,13438,13566,13711,13868,NaN,14006,14144,14300,NaN,14469,14635,14980,15153,15316,NaN,15464,15592,15752,NaN,15946,16045,16223,16383,16517,NaN,16661,16799,16951,NaN,17120,17205,NaN,17454,17582,17744,NaN,17941,18039,18213,18382,18509,NaN,18741,18874,19030,19447,19613,19764,NaN,19911,20058,20214,NaN,20386,20494,20668,20847,21007,NaN,21149,21295,21465
