n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,f,a,b,l,e
1977.8,2119.7,2294.8,2460.4,2617.8,2795.1,2940.8,3092.8,3248.7,3402.2,3501.1,NaN,3686.9,3831.7,4035.5,NaN,4114.2,4288,NaN,4467.4,4617.9,4827.7,NaN,4902.3,5082,NaN,5258.4,5414.2,5619.8,NaN,5694.5,5873.3,NaN,6051.8,6204.6,6407.8,NaN,6483.4,6672.5,NaN,6847.9,7002.4,7219.8,NaN,7299.1,7486.9,7649.8,7772.7,7958.7,NaN,8138.9,8288.6,8501.3,NaN,8582.1,8718.8,8912.4,9073.2,9202,9385.1,NaN,9565.5,9726.1,9938,NaN,10020,10212,10376,10492,10792,10949,11127,11235,NaN,11409,11571,11815,NaN,11894,12096,12252,12418,12658,12777,12878,13076,NaN,13257,13414
2024.3,2186.1,2362.5,2533.9,2701.2,2852.6,3021.3,3178.5,3336.6,3482.3,NaN,3623.9,3782.9,3913.8,NaN,4084,4172.2,NaN,4419.7,4574.6,4701,NaN,4875,4965.1,NaN,5211.6,5366.4,5497.4,NaN,5662.5,5751.9,NaN,5998.6,6160.3,6283.9,NaN,6452.2,6535.5,NaN,6798.7,6957.1,7090.2,NaN,7264,7374.9,7550.2,7730.5,7847.8,NaN,8086.7,8245.5,8370.5,NaN,8550.1,8639.1,8818.2,8995,9157.1,9285,NaN,9515.2,9674.9,9812.2,NaN,9987.3,10080,10282,10456,10554,10861,11036,11209,NaN,11359,11519,11655,NaN,11862,11954,12161,12332,12501,12728,12853,12942,NaN,13212,13364,13496
