n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
4700.4,4874.7,5020.1,5179.4,5329.2,5478.8,5636.4,5784.9,5942.6,6043.4,NaN,6221.4,6365.5,6566.1,NaN,6641.2,6824.4,NaN,7005.7,7161.2,7359.1,NaN,7434.7,7613.1,NaN,7796.3,7941.6,8142.5,NaN,8217.6,8400.5,8559.7,8660.4,NaN,8841.3,8983.1,9150.5,NaN,9272.8,9444.3,NaN,9630.8,9778.1,10010,10122,10229,10420,NaN,10604,10749,10998,NaN,11075,11259,11440,11569,11763,NaN,11947,12110
4736.4,4920.5,5097.8,5261.1,5417,5592.6,5716.3,5866.5,6020.8,NaN,6162,6309.7,6445.5,NaN,6615.6,6699.7,NaN,6947.1,7097.9,7239.2,NaN,7406.2,7490.6,NaN,7738.2,7885.4,8019.5,NaN,8191.4,8277.5,8466.5,8636.2,NaN,8775.9,8928.9,9065.9,NaN,9234.5,9335.6,NaN,9566.9,9722.7,9858.4,10086,10198,10289,NaN,10547,10695,10828,NaN,11046,11135,11326,11523,11637,NaN,11890,12041,12191
