n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l
2203.7,2372.4,2535,2700.5,2858.3,3031.2,3181.4,3341.3,3503.1,3602.1,NaN,3782.4,3920.2,4124.6,NaN,4201.9,4382,NaN,4567.1,4709.9,4910.2,NaN,4988,5185.9,5347.8,5510.5,5610.6,NaN,5790.1,5953,6163.8,NaN,6239.2,6418.5,6566.2,6667.6,NaN,6848.4,6997.8,7198,NaN,7274.9,7441.9,7599.2,7745.3,7848.6,NaN,8034.5,8206.3,8428.6,NaN,8508.6,8694.4,8850.8,9014.5,9112.4,NaN,9294.4
2245.4,2428.3,2615.9,2775.8,2940.6,3114.2,3267,3427.8,3576.4,NaN,3721.8,3870.4,4004.9,NaN,4171.2,4258.1,NaN,4505.3,4663,4794.1,NaN,4960.9,5044.4,5249.5,5429.2,5587.7,NaN,5729.6,5880.3,6036.8,NaN,6212.8,6295.6,6483.9,6643,NaN,6788.4,6905.3,7075.2,NaN,7244.5,7327.8,7502.7,7679.5,7825.3,NaN,7967.8,8116.7,8284.7,NaN,8474.9,8567.4,8750,8929.2,9088.4,NaN,9232.5,9371.5
