d,h,g,g,b,b,b,b,c,b,b,b,b,b,b,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,b,b,b,b,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,j,j,j,i,l,l,d,f,f,i,b,b,e,e,g,f,h,d,d,i
2745.4,3225.9,3372.1,3696,3862.9,3996.4,4112.2,4246.3,4392,4533,4680.8,4820.3,4951.9,5096.2,5239.5,5391,5527.8,5668,5807.7,5957.1,6104.4,6262.5,6403.1,6489.5,6581.2,6702.1,6792.2,6909.1,7028.2,7162.4,7281.4,7346.7,7507.7,7628.1,7765.4,7912.6,8047,8191.1,8328.2,8468.6,8600.1,8725.2,8869.7,9014.3,9160.7,9243.9,9340.1,9459,9547.2,9667,9780.2,9922,10038,10101,10241,10367,10511,10658,10740,10836,10957,11045,11164,11286,11416,11533,11595,11776,11885,12011,12114,12236,12298,12444,12578,12729,12873,13022,13106,13207,13327,13417,13539,13659,13834,13955,14108,14254,14379,14550,14711,14762,16031,16062
2798.7,3248.2,3393.6,3718.8,3890.8,4027.2,4142,4274.6,4426.1,4572.9,4738.5,4876.7,5015.9,5158.6,5303.3,5444.6,5581.9,5720.3,5883,6031.2,6177.5,6334.2,6460.3,6548.2,6642.7,6744.3,6882.8,6997,7087.4,7214.8,7331.2,7408.6,7549.8,7689.4,7830.1,7974,8114.1,8258.9,8396.6,8524.7,8655.7,8802.1,8942.2,9087.3,9217.9,9307.3,9404.4,9501.3,9637.8,9755.9,9846.3,9971.6,10086,10167,10297,10440,10587,10717,10803,10899,11001,11135,11258,11347,11468,11582,11660,11813,11938,12045,12167,12287,12363,12499,12669,12804,12950,13084,13170,13272,13374,13507,13624,13718,13873,14016,14164,14310,14431,14577,14732,14802,16055,16100
