c,c,c,c,c,c,c,c,c,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,b,b,b,b,b,b,b,b,b,b,b,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,l,l,b,b,b,b,b,e,e,e,j,j,j,j,e,h,d,h,h,e,h,d,h,g,e,j,j,j,j,i,l,l,d,f,f,j,d,l,l,b,e,h,d,l,l,e,j,j,i,l,l,d,f,f,i,d,k,l
1998.9,2147.7,2310.7,2430.4,2554,2691.7,2820.3,2977.6,3129.6,3282.4,3430.2,3581.2,3749.8,3914.9,4062.8,4215.7,4368.8,4519.8,4673.1,4824,4976.4,5120.7,5259.2,5406.5,5549.1,5702.4,5843.9,5965.5,6108,6244.2,6387.5,6542.4,6689.1,6841.5,6993.3,7145.5,7295.7,7438.5,7574,7706.7,7840.6,7981.2,8126.7,8277.6,8427.6,8511.4,8611.3,8730.4,8818.8,8937.3,9058.3,9192.4,9313.8,9376,9554.4,9668.8,9812.1,9952.3,10099,10248,10403,10545,10675,10822,10973,11122,11480,11619,11728,11851,11999,12139,12268,12384,12504,12661,12808,12942,13092,13238,13400,13546,13630,13729,13847,13937,14061,14184,14315,14442,14504,14691,14810,14935,15048,15170,15232,15376,15516,15679,15826,15911,16012,16136,16226,16348,16469,16603,16719,16788
2022.1,2174.1,2331.4,2462.1,2581.8,2725.9,2858.8,3012.1,3168.2,3347.4,3494.4,3647.5,3812,3972.7,4122.1,4279.1,4436.4,4587.2,4727.4,4874.9,5030.1,5173.4,5315.5,5460.1,5599.6,5756.2,5887.7,6031.4,6176,6313.3,6456.6,6613.7,6755.9,6909.9,7063.1,7214.4,7364.4,7495.7,7629.2,7763.3,7912.7,8052.2,8198.2,8344.7,8485.4,8576.2,8675.7,8770.9,8908.8,9024.9,9116.2,9245.3,9360.8,9439.6,9593.8,9738.1,9878.2,10019,10167,10304,10458,10599,10742,10896,11045,11190,11537,11652,11781,11890,12020,12191,12299,12436,12541,12690,12861,13016,13163,13313,13472,13605,13694,13791,13890,14029,14151,14247,14368,14490,14567,14731,14864,14975,15103,15219,15296,15435,15591,15753,15884,15977,16077,16179,16318,16435,16527,16656,16774,16852
