c,c,b,c,c,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,h,d,k,l,e,h,h,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,h,d,k,l,e,h,d,h,h,e,j,h,e,h,g,g,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,h,g,e
2266.8,2492,2627.7,2733.8,2885.8,3013.9,3177.7,3304.7,3465.7,3627.2,3793,3921.8,4062.1,4210.5,4347.3,4481.1,4611.8,4742,4887.6,5026.8,5171.9,5316.7,5467.5,5615.3,5701.4,5797.1,5921.3,6011.9,6128.7,6252.6,6388.6,6506.1,6568.8,6736.9,6853.9,6999.2,7141.1,7279.2,7417.6,7551.9,7684.4,7830.8,7979.8,8061.9,8158.8,8281.9,8370.1,8493,8615.9,8750.1,8869.2,8933.4,9107.6,9223.3,9357.5,9460.3,9578.4,9642.3,9781.8,9911.4,10019,10139,10202,10354,10481,10611,10761,10896,11045,11201,11349,11435,11534,11653,11741,11862,11982,12118,12241,12304,12518,12633,12764,12880,12994,13066,13222,13358,13475,13598,13663,13810,13949,14058,14188,14340,14476,14614,14773,14923,15062,15371,15534,15682,15817,15958,16096,16247,16392,16545,16630,16727,16854,16943,17069,17192,17331,17451,17516,17765,17880,18018,18125,18254,18410,18570
2292.1,2516.3,2651.8,2764.3,2920.6,3074.8,3217.3,3363.5,3527.6,3689.5,3835.2,3971.6,4113.9,4264.3,4402.1,4531.6,4664.7,4794.7,4939.7,5096.4,5242.2,5389.1,5539.6,5673,5764.6,5860.9,5963.5,6096.8,6220.7,6310.7,6438,6552.3,6634,6778.9,6919.8,7062.3,7196,7333.5,7471.6,7606.5,7755.8,7901.9,8034.8,8125.4,8220.4,8324.6,8464.8,8584,8678.2,8801.8,8913.8,8996.1,9145.6,9276.7,9387.8,9511.8,9623.6,9705.9,9836.9,9945,10073,10184,10268,10406,10516,10649,10815,10969,11117,11270,11406,11498,11597,11696,11834,11957,12041,12170,12286,12370,12547,12685,12800,12935,13044,13127,13274,13391,13525,13640,13726,13862,13980,14106,14223,14369,14530,14684,14812,14966,15093,15399,15568,15733,15870,16013,16167,16317,16463,16604,16694,16791,16900,17036,17162,17253,17383,17496,17578,17800,17933,18049,18178,18291,18444,18623
