h,g,g,b,b,c,b,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,l,l,g,g,e,h,d,k,l
1999.2,2788.8,3108.1,3299.8,3447.5,3570.6,3687.4,3839.8,3982.8,4117.1,4270.8,4412.1,4550.1,4693.4,4834.8,4984.7,5131.6,5215.8,5312.4,5432.3,5521.3,5642.8,5761.9,5897.9,6017.4,6079.7,6227.5,6351.9,6503.5,6649.1,6730.5,6829.5,6947.8,7038.9,7160.2,7280.8,7414.8,7534.4,7596.3,7760.8,7876.3,8014.7,8156.5,8305.2,8388.3,8487.5,8609.6,8699,8822.4,8946.3,9078.3,9199.5,9262.4,9434.7,9547.4,9674.1,9821.8,9955.2,10122,10267,10351,10449,10572,10662,10784,10908,11040,11162,11224,11371,11502,11650,11802,11885,11982,12106,12194,12317,12441,12574,12695,12759,12915,13051,13164,13290,13354,13593,13744,13906,14040,14176,14297,14360
2047.3,2820.8,3133.2,3325.2,3477.8,3606.9,3746,3909.1,4048.9,4184.2,4326,4467.8,4605,4763.9,4908.8,5061.3,5189.5,5279.1,5376.2,5475.4,5610.9,5726.7,5826.7,5950.4,6065.4,6143.7,6283.6,6428.4,6576.9,6708.8,6796.7,6895.1,6995.2,7127,7247.5,7344.2,7468.6,7585.1,7662.8,7803.7,7932.8,8087.2,8228.9,8362.6,8454.2,8552.4,8653.8,8789.2,8912.9,9005.6,9132.7,9251.9,9328,9473.2,9605.1,9748.7,9893.9,10036,10191,10324,10416,10515,10618,10754,10873,10972,11095,11211,11290,11424,11580,11720,11858,11948,12047,12151,12288,12412,12499,12627,12744,12823,12972,13084,13216,13339,13418,13625,13789,13962,14075,14228,14348,14429
