g,b,b,b,b,c,c,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,b,b,b,b,b,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,h,d,l,l,e,h,d,h,h,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,i,l,l,d,f,f,i,d,l,l,b,e,h,d,l,l,b,e,h,d,l,l,g,g,e,g,g,f,g,e,h,d,h,h,h,g,g
2162,2553.2,2673.2,2819.9,2956.4,3119,3250.5,3381,3531.8,3684.4,3831.3,3975.8,4128.1,4304.8,4455.2,4601.4,4744.3,4873.9,5012.7,5148.3,5286.8,5429.1,5587.3,5748.2,5867.7,6015.4,6154.4,6292.6,6436.8,6582.5,6718.6,6859.8,7004.2,7150.4,7232.8,7331.4,7454.4,7543.6,7664.1,7785.5,7915.9,8034.1,8095.8,8242.3,8364.4,8510.5,8654.9,8739.8,8838.3,8962.6,9050.6,9171.6,9295,9425.9,9547,9608.5,9778.5,9893.5,10028,10141,10266,10328,10475,10608,10719,10838,10901,11046,11181,11299,11420,11565,11690,11824,11972,12117,12201,12296,12418,12508,12625,12747,12882,13005,13067,13222,13352,13507,13591,13691,13813,13902,14025,14148,14285,14408,14472,14671,14778,14906,15027,15152,15215,15412,15527,15664,15788,15914,15977,16197,16356,16518,16658,16843,17006,17180,17335,17474,17606,17728,17885,18050,18218,18390
2186.4,2579.9,2701.2,2847.6,2986.1,3152.3,3289.1,3445.4,3596.1,3741.1,3892,4039.8,4195.8,4374.2,4521.8,4656.8,4796.3,4929,5066.8,5202.1,5338.4,5483,5641.5,5784.9,5931.5,6077.3,6218.2,6361.7,6506.4,6637.7,6786,6932.7,7080.4,7209.6,7295.4,7392.1,7495.8,7633.9,7752.3,7843.5,7966.2,8079.8,8158.8,8297.2,8438.2,8581.5,8715.5,8802.5,8900.2,9003.8,9142,9260.3,9359.9,9476.9,9593.4,9672.2,9818.5,9947.4,10062,10193,10314,10391,10527,10645,10769,10885,10966,11101,11216,11353,11460,11590,11744,11892,12040,12177,12266,12359,12464,12593,12715,12803,12935,13052,13131,13276,13424,13565,13654,13751,13858,13993,14116,14207,14338,14457,14536,14701,14832,14941,15077,15199,15278,15444,15582,15698,15841,15960,16040,16226,16390,16569,16706,16867,17036,17217,17389,17508,17660,17765,17915,18076,18251,18416
