d,d,h,d,k,e,d,e,d,g,g,c,b,b,c,c,c,c,c,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,g,e,h,d,k,l
1999,3070,3664.8,4062.6,4381.6,5036.8,5667.9,6357.2,6708.1,7206.4,7416.7,7583.7,7720.1,7838.3,7957.1,8093.3,8222.8,8357.1,8491.2,8621.1,8758.7,8902.2,9032.9,9171.8,9303.5,9434.2,9563,9695.4,9833.8,9972.8,10115,10196,10289,10409,10496,10613,10728,10862,10979,11041,11185,11304,11448,11590,11672,11765,11881,11970,12089,12208,12339,12457,12518,12659,12785,12928,13076,13158,13257,13375,13463,13584,13702,13835,13954,14016,14158,14288,14431,14580,14663,14759,14878,14968,15089,15212,15346,15464,15527,15719,15858,15987,16100,16220,16282
2130.1,3131.4,3718.2,4117.1,4442.1,5094.1,5715.6,6411.6,6747.6,7233.8,7441.7,7612.2,7750.9,7862.4,7988.2,8127.2,8257.6,8393,8540.7,8684.5,8820,8963.2,9085.5,9224.8,9354.6,9485.8,9618.6,9765.8,9909.4,10046,10173,10259,10353,10452,10587,10702,10789,10912,11024,11104,11240,11376,11519,11648,11735,11829,11926,12061,12180,12266,12390,12503,12582,12713,12860,13001,13134,13223,13320,13419,13555,13675,13764,13886,14000,14080,14213,14361,14507,14639,14727,14824,14921,15061,15181,15273,15399,15512,15593,15743,15912,16023,16153,16264,16346
