g,g,b,b,b,c,c,b,c,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,b,b,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,g,g,d,d,d
1991.7,2801.9,3075.1,3214.2,3363.5,3492.7,3616.2,3752,3882.2,4021.4,4173.9,4308.7,4447.5,4622.7,4765.1,4904.4,5039.7,5168.5,5304.4,5444.2,5583.9,5722.3,5866.7,6006.8,6156,6300,6384.4,6478.7,6594.5,6684.3,6802.7,6921,7056,7175.6,7237.3,7390.6,7505.2,7645.7,7782.2,7914.6,8059.5,8196.9,8323.5,8453.6,8581.7,8719.2,8860,9011.4,9153.9,9236.5,9329.8,9448.1,9536.8,9655.9,9776,9906.8,10025,10086,10229,10353,10496,10646,10727,10823,10943,11033,11152,11273,11406,11523,11586,11795,11908,12037,12144,12265,12327,12473,12602,12747,12902,12985,13083,13203,13293,13414,13532,13669,13792,13855,14021,14137,14269,14478,14638,14843,15514,15611
2037.4,2825.1,3101.7,3247.8,3387.8,3518.5,3646.5,3782.4,3914.4,4086.5,4231.6,4374.8,4507.7,4683.1,4819,4956.3,5090.3,5220.3,5359.2,5496.3,5638.4,5786.8,5936.9,6078.4,6225,6355.2,6444.2,6541.1,6638,6778.2,6892.8,6984.8,7106.5,7222.1,7299.6,7435,7568.4,7711,7845.9,7984,8112.8,8254.5,8378.7,8507,8653.9,8793.4,8936.8,9082.9,9211.2,9299.4,9393.1,9492.6,9633.8,9747.5,9838.6,9958.9,10072,10149,10284,10427,10568,10704,10793,10889,10987,11125,11242,11330,11459,11571,11650,11830,11963,12076,12196,12312,12390,12527,12675,12818,12959,13050,13147,13250,13386,13504,13590,13721,13840,13921,14058,14192,14306,14506,14659,14897,15604,15634
