b,c,c,c,c,c,c,c,c,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,l,l,b,b,b,b,b,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,h,h,e,h,d,l,l,b,e,h,h,e,h,d,h,h,g,e,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l,h,e,h,d,l,l,e,h,d,h,g,e,e,g,f,b,b,b,b,b,b,b,b,e,j,j,j,i,l,l,d,f,f,i,d,l,l
2248.1,2370.8,2504.9,2626.7,2782.7,2931.1,3087,3243.8,3421.8,3567,3712.8,3886,4045.6,4184.5,4349.7,4503.2,4664.9,4818.3,4973.1,5128,5271.8,5409,5551.4,5690.9,5833.7,5974.1,6117.1,6267,6411.5,6494.7,6595.1,6712.6,6803,6924.8,7049.8,7185.1,7307.3,7369.3,7530.2,7641,7780.4,7921.4,8063.2,8217.6,8362.9,8502.2,8632.5,8772.8,8903.9,9047.8,9196.5,9279.4,9383.5,9503.4,9593.6,9714.8,9836.3,9968.9,10090,10153,10306,10436,10549,10673,10822,10968,11099,11215,11338,11401,11586,11699,12001,12156,12290,12427,12535,12654,12810,12952,13092,13221,13373,13522,13672,13828,13980,14064,14163,14284,14373,14496,14617,14750,14871,14934,15169,15304,15441,15563,15687,15750,15905,16034,16162,16286,16605,16751,16899,17031,17212,17392,17522,17665,17808,17955,18102,18245,18390,18545,18677,18818,18964,19110,19195,19295,19416,19507,19631,19756,19889,20013,20075
2269.6,2399.8,2532.3,2660.6,2814.2,2961.3,3120.1,3278.2,3457.9,3613.8,3773.2,3950.1,4107.8,4244.9,4416,4570.7,4732,4888.2,5039.5,5184.6,5326.2,5465.3,5605.3,5746.2,5901,6046.1,6190.9,6340.7,6468.5,6558.3,6655.6,6754.8,6895.2,7013.7,7108.1,7236.6,7354.2,7432.1,7569.5,7703.7,7845,7989,8127.5,8286,8418.8,8557.7,8690.9,8829.6,8971.9,9119.8,9254.4,9343.2,9445.7,9545.9,9684,9805.3,9895.3,10023,10139,10219,10359,10475,10603,10710,10849,11016,11133,11267,11385,11464,11623,11753,12027,12186,12346,12464,12588,12695,12838,12988,13147,13294,13445,13592,13745,13895,14038,14128,14227,14330,14466,14587,14677,14802,14920,14997,15193,15356,15477,15617,15734,15812,15957,16070,16215,16330,16634,16804,16954,17081,17246,17426,17576,17730,17872,18023,18168,18312,18454,18600,18750,18894,19036,19169,19259,19357,19460,19599,19723,19813,19942,20060,20138
