h,g,g,g,b,b,b,c,b,c,c,c,c,b,b,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,l,l,b,e,l,h,d,h,d
2930.9,3588.6,3837.2,4008.7,4164.1,4292.4,4447.8,4577,4717.7,4845.6,4986.3,5125.3,5270.4,5411.8,5563.2,5706.2,5833.9,5967.1,6102.7,6236.9,6377.6,6518.2,6654.9,6801.5,6882.3,6981.4,7107,7192.9,7310.5,7430,7559.5,7676.1,7737.5,7900.3,8014.5,8138.9,8280.7,8426.8,8508.5,8606.9,8728.4,8817.6,8935.1,9053,9186.7,9299.4,9369.6,9521.9,9644.5,9789.7,9937,10020,10115,10253,10340,10463,10589,10727,10842,10905,11075,11185,11316,11435,11552,11679,13481
2964.8,3611.3,3864.1,4032.9,4196.1,4325.5,4485.4,4610.3,4757.5,4880.3,5019.7,5165.5,5311.2,5478.3,5629,5761.2,5888.7,6020.7,6156.8,6312.4,6451.8,6595.2,6731.4,6859.6,6949.7,7048,7153.2,7285.7,7400.3,7492.7,7610,7724.6,7803.8,7941.4,8070.4,8216.4,8355.5,8487.4,8574,8671.1,8773.8,8908.9,9025.1,9111.6,9236,9355.8,9434.6,9575.3,9721.9,9868.1,9997,10085,10186,10298,10435,10551,10652,10775,10891,10967,11113,11242,11355,11472,11604,11719,13513
