d,b,b,c,b,c,c,c,b,c,c,c,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l
1999.3,2882.1,3033.2,3179.8,3312.2,3453.2,3604,3754.8,3897.6,4048.2,4195.2,4329.3,4460.9,4619.8,4759.5,4907.5,5041.5,5195.4,5368.4,5535.2,5681.2,5825.6,5961.6,6093.5,6232.4,6372.6,6526.2,6659.1,6806.5,6957.3,7039.4,7137.3,7263.9,7352.2,7471.4,7590.4,7725,7846.1,7907.2
2020.9,2906.1,3060.3,3208.5,3348.2,3482,3638.7,3790.9,3934,4090.6,4230.6,4364.3,4524,4682.9,4822.8,4971.9,5109.1,5268.2,5435.7,5587,5736.1,5878.6,6013.5,6146.5,6285.9,6427.4,6579.2,6733,6879.5,7016.2,7101.9,7199.6,7307.1,7445.2,7560.9,7651.4,7777,7893,7952.8
