e,g,g,g,b,g,b,b,b,b,c,b,b,b,b,e,e,e,e,e,e,e,e,e,e,j,j,j,g,l,l,d,f,f,i,d,k,l,b,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l
2435.4,3280.9,3609.6,3878.6,4040,4097,4171.6,4300.7,4446,4570,4702.2,4846.7,4983.2,5124.4,5267.3,5419.3,5557.3,5696.9,5830.8,5970,6107.7,6239.8,6382.8,6525.1,6659.7,6782.5,6931.4,7078,7223.1,7302.7,7400.7,7522.8,7611.5,7732.2,7854.4,7987.1,8096.8,8166.2,8327.3,8444.7,8572.7,8717.3,8858.2,9005,9152.2,9233.4,9331.5,9452.8,9542.1,9659.9,9779.6,9915.7,10036,10097,10240,10370,10476,10585,10655
2456.7,3306.8,3630.1,3901.2,4079.3,4117.9,4202.7,4336.9,4483.3,4608.1,4744.3,4896,5050.8,5192.4,5334.2,5474.6,5610.9,5750.8,5884.4,6023.4,6163.3,6294.6,6436.9,6580.2,6714.6,6859.4,7007.5,7156.8,7281.8,7369.3,7467.2,7567.3,7705.3,7824.2,7917.3,8038.2,8154.6,8231.9,8372.7,8501.8,8647,8793,8936.9,9084.5,9212.2,9299.8,9397.7,9499,9631.1,9747.5,9843.1,9964.4,10085,10164,10294,10408,10528,10643,10745
