b,c,b,b,b,b,b,b,e,e,e,e,j,j,i,l,l,d,f,b,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,i,l,l,d,f,f,i,d,l,l,b,g,b,b,b,b,b,b
2696.2,2999.5,3460.9,3647.2,3795.2,3957.5,4088.6,4245.5,4398.7,4555.4,4699.5,4854,5001.5,5146.2,5305.2,5389.1,5488.6,5612.5,5706.3,6378.5,6523.8,6649.3,6795.6,6939.4,7067.8,7215.4,7368.5,7453.3,7550.7,7672.3,7763.9,7885,8008.9,8147.4,8269.7,8333.1,8505,8622.3,8752.9,8907.9,8994.7,9092.8,9218.2,9308.9,9432.2,9557.8,9696,9819.4,9884.3,10101,10191,10249,10385,10421,10697,11306,11704
2726.4,3039.3,3486.2,3679.5,3838.2,3994.6,4151.6,4311.8,4453.5,4606.6,4751,4906.1,5069.5,5216,5362.6,5454.6,5554,5654.6,5795,6400.1,6563.1,6702.2,6847.6,6994.6,7139.8,7288.5,7427.2,7516.8,7615,7714.7,7859.9,7978.9,8065.5,8194,8313.2,8396.5,8543.1,8675.8,8829,8967,9056.3,9155,9261.4,9397.8,9519.3,9616.2,9744.6,9865.4,9947.7,10134,10227,10346,10412,10443,10724,11351,11736
