c,c,c,c,c,b,c,b,b,b,c,c,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,j,d,l,l,e,h,d,l,l,b,b,b,e,j,j,i,l,l,d,f,f,i,d,k,l,b,b,h,d,k,l,e,h,g,e,j,j,i,l,l,d,f,f,i,d,l,l,e,h,d,l,l,b,e,h,h,e,h,f,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,g,g,h,f,d,h,g,e,g,g,e,h,d,k,l
1988,2128.8,2251.1,2383.7,2517.7,2647,2774.4,2927.8,3084.8,3209.1,3341.8,3488.6,3604.1,3757.4,3911.5,4050.6,4238.2,4378.3,4541.9,4567.2,4698.7,4835.2,4978.3,5115.5,5257.5,5390.8,5540.7,5683.6,5814.3,5959.8,6112.8,6259.3,6407.8,6492.8,6589.4,6714.3,6804.7,6922.4,7045.4,7179,7302.3,7364.4,7517,7644,7749.9,7872.6,7935.5,8101.1,8220.2,8365.4,8506.4,8635.7,8784.5,8932.8,9014.7,9111.1,9231,9320.4,9436.6,9554.7,9691.4,9811.3,9873.1,10045,10155,10281,10388,10501,10569,10712,10844,10980,11112,11238,11390,11537,11621,11721,11839,11928,12049,12170,12303,12422,12485,12632,12758,12868,12989,13051,13240,13354,13484,13628,13770,13902,14036,14317,14457,14595,14728,14867,15015,15167,15315,15397,15499,15621,15709,15830,15955,16090,16210,16273,16451,16563,16699,16819,16944,17007,17176,17582,17739,17888,18039,18210,18333,18483,18626,18788,18939,19075,19219,19337,19461,19526
2015.9,2154.3,2279.7,2406.9,2549.3,2677.5,2810,2961.6,3122.4,3247.7,3374.2,3535.8,3668.7,3827.6,3979.6,4119.4,4276.4,4444.7,4562,4602.9,4757.7,4887.8,5030.8,5166.6,5310.8,5444.9,5593,5736.5,5881.8,6032.6,6181.6,6330.1,6468.1,6557.5,6652.4,6756.5,6894.1,7011.2,7108,7233.4,7348.6,7428.8,7567.8,7675.1,7795,7920.8,7999.1,8141,8281,8426.2,8559.8,8708,8856.7,8988.6,9079.5,9173.8,9275.2,9408.6,9525,9614,9744.5,9858.3,9936.4,10082,10208,10313,10441,10555,10631,10764,10878,11009,11167,11305,11456,11595,11687,11782,11881,12016,12136,12229,12356,12470,12549,12686,12790,12921,13037,13116,13281,13409,13520,13657,13824,13935,14062,14371,14510,14649,14782,14938,15086,15243,15374,15462,15560,15664,15800,15920,16014,16138,16257,16335,16492,16615,16737,16866,16992,17071,17210,17610,17778,17916,18060,18260,18360,18513,18679,18812,18966,19110,19252,19380,19507,19583
