b,c,b,c,c,c,c,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,g,b,b,b,b,b,b,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,l,l,b,b,b,e,e,e,j,j,j,j,j,i,l,l,d,f,f,i,d,l,l,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,j,j,i,l,l,d,f,f,i,d,l,l,b,e,h,d,k,l
2887,3032.6,3181.3,3341.3,3503.5,3645.8,3788.1,3961.8,4127.8,4282.6,4444.2,4634.9,4796.9,4938.4,5135.6,5291.1,5465.7,5629.3,5773.2,5918.6,6062.8,6218.7,6404,6583.6,6708.4,6865.1,6988.4,7136.2,7282.3,7436.2,7585.9,7733.3,7879.9,8023.9,8170,8319.7,8469.3,8555.1,8656.4,8779.1,8870.5,8991.2,9113.7,9250.8,9375.5,9437.6,9593.4,9714.9,9859,10008,10140,10273,10404,10557,10707,10860,11011,11157,11239,11341,11463,11554,11676,11800,11934,12057,12120,12299,12420,12568,12709,12853,13003,13148,13287,13420,13561,13714,13846,13972,14122,14269,14421,14571,14726,14812,14913,15035,15126,15249,15371,15503,15625,15690,15868,15989,16121,16234,16358,16422
2917.8,3061.9,3204.7,3374.9,3537.2,3679.4,3819.9,4008.7,4170.4,4346.7,4506.5,4679.4,4860.8,5005.4,5208.2,5359.4,5533.2,5682.8,5827,5969,6115.4,6268.3,6433.1,6625.6,6772.1,6916.7,7058.2,7203.2,7352.2,7488.9,7639.7,7787.9,7948.1,8098.5,8244.5,8392.5,8527.4,8619,8717,8820.5,8960.6,9080.2,9172.3,9298.7,9421.6,9501.2,9638.4,9782.2,9925.6,10065,10197,10326,10473,10624,10779,10932,11081,11216,11306,11405,11509,11647,11764,11856,11984,12105,12185,12339,12484,12634,12777,12923,13070,13201,13343,13475,13616,13767,13901,14045,14197,14340,14494,14640,14787,14874,14976,15076,15211,15332,15431,15554,15674,15754,15904,16041,16155,16290,16407,16484
