g,c,c,c,c,c,c,c,c,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,i,l,l,d,f,f
2969.9,3578.9,3705.9,3846.5,4005.5,4147.9,4290.5,4601.8,4903.8,5100.5,5216.7,5373,5518.9,5653.1,5795.2,5940.1,6090.4,6249.1,6335.6,6435.1,6562.1,6651.6,6778.3,6899.4,7038.4,7161,7225.3,7378.1,7504.2,7657.3,7799.7,7887,7986.1,8107.3,8200.5,8321.3,8446.3,8589.4,8709.8,8781.2,8930.9,9066.2,9217.4,9368.1,9453.7,9554.4,9678,9769.3,9895.2,10020,10155,10279,10342,10495,10626,10779,10928,11017,11116,11242,11337,11465,11589,11726,11851,11914,12066,12202,12359,12446,12551,12677,12770,12893
2999.1,3603.7,3735.2,3879.7,4030.8,4180.2,4312.9,4649.3,4929.6,5122.3,5270.9,5427.8,5570.4,5708.2,5869.2,6014.9,6161.2,6303.3,6396.9,6492.8,6602.4,6743.9,6864.6,6963.3,7091.6,7206.9,7289.5,7435.4,7575,7729.4,7860.6,7950.6,8048.3,8152.2,8292.7,8408.7,8506.3,8638.3,8763.4,8844.5,8984.7,9136.5,9287.7,9426.9,9519.2,9618.6,9719.7,9861.3,9987.1,10081,10205,10327,10407,10551,10696,10848,10985,11081,11177,11287,11428,11550,11647,11777,11899,11982,12119,12276,12418,12509,12615,12725,12863,12980
