g,g,b,c,b,d,b,c,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,j,i,l,b,e,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,g,g,h,d,h,h,e,h,d,k,l,b,b,h,d,k,l,b,e,h,d,k,l
1997.7,3096.9,3270.9,3418.1,3561,3660.7,3853.6,3978.8,4114.4,4262.5,4409.1,4545.1,4685.7,4833.9,4980.6,5119.4,5252.4,5380.9,5512.4,5646.4,5782.4,5921,6067.9,6212.7,6359.6,6438.9,6630.5,6752.8,6901.5,7029.1,7159.4,7302.7,7456.2,7599.9,7683.1,7778.7,7894.7,7983.5,8101.9,8217.5,8349.5,8466.1,8527.2,8667.9,8794.4,8935.7,9080.4,9226.9,9307.2,9404.9,9522.4,9611,9731,9852.6,9985.3,10104,10165,10307,10433,10578,10725,10807,10906,11028,11116,11236,11361,11494,11614,11677,11829,11961,12104,12255,12404,12484,12583,12708,12796,12919,13041,13176,13539,13705,13844,13960,14091,14254,14407,14541,14666,14785,14846,15066,15182,15310,15442,15562,15624,15830,15945,16079,16210,16334,16396
2025.3,3124.9,3297.5,3447.3,3596.7,3767.8,3894.1,4015.2,4153.9,4330.5,4473.3,4613.4,4753.6,4904.5,5031.9,5172.6,5306,5435.4,5566.2,5699.8,5853.6,5994.4,6139.2,6289.1,6415.8,6503.5,6673.9,6783.1,6945.9,7083.1,7231.1,7376.6,7529.1,7659.8,7746,7838.1,7937.2,8074,8191.1,8279.9,8399.4,8513.7,8589.9,8721.1,8867.5,9009.5,9155.2,9284.6,9373.3,9468.6,9563.9,9699.2,9817.1,9908.8,10025,10151,10230,10361,10506,10652,10785,10874,10975,11071,11207,11327,11418,11543,11664,11741,11882,12031,12179,12330,12461,12549,12648,12750,12891,13008,13100,13228,13576,13748,13876,14005,14126,14280,14460,14574,14716,14834,14911,15106,15236,15344,15485,15609,15687,15871,16000,16116,16264,16382,16462
