b,c,b,c,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,b,b,e,e,g,g,e,e,h,d,h,g,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,g,e,h,d,h,h,e,g,f,g
2447.2,2568.7,2848.7,2998.4,3123,3261.2,3418.9,3575.4,3725.3,3886.3,4049.8,4190.8,4339.8,4477.4,4615,4755.2,4905.6,5057.9,5192.1,5336.5,5483.1,5630,5716.6,5812.3,5931.4,6020.8,6140.9,6264.4,6397.9,6516.9,6577.8,6749.9,6865.2,7006.9,7142.1,7282.8,7428.2,7564.6,7705.8,7856.2,8007.7,8140.1,8270.2,8377.1,8500.8,8641.4,8778.2,8904.3,9044.3,9189.3,9272.7,9367.7,9487.6,9577.3,9697.3,9818.8,9950.1,10070,10133,10310,10422,10547,10654,10773,10834,10975,11108,11257,11402,11484,11585,11702,11792,11914,12034,12168,12289,12353,12523,12632,12825,12983,13132,13261,13390,13511,13653,13791,13928,14115,14441
2478.3,2601.6,2885.7,3023.8,3180.6,3322.8,3486.2,3644,3792.4,3957.8,4100.2,4242.7,4390.3,4531.8,4666.1,4807.9,4957.2,5106.6,5263.2,5407.2,5554.9,5686,5778.3,5873.7,5975.2,6110.8,6232,6322.5,6446,6564.2,6643.2,6785.8,6934.1,7070.6,7206.9,7351.1,7481.7,7619.1,7743.4,7899.2,8062.1,8176.9,8303.9,8426.7,8537.4,8665.2,8832,8975.8,9116.2,9247.2,9334.8,9429.4,9531.6,9669.1,9787.3,9877.2,9999.2,10119,10194,10350,10477,10581,10702,10820,10896,11028,11184,11328,11462,11550,11650,11748,11879,12001,12093,12221,12337,12413,12556,12684,12849,13012,13184,13295,13444,13545,13674,13844,13970,14136,14471
