c,i,b,d,c,c,c,b,b,c,b,b,e,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l
2409.4,2455.5,2625,4485.7,5035.5,5440.8,5587.5,5740,5911.2,6052.4,6190.1,6347.1,6501.3,6647.7,6803.7,6949.9,7094.4,7223.1,7369.2,7528.1,7669.2,7808.6,7956.2,8038.9,8140.5,8261.7,8351.3,8470.8,8596.9,8734.4,8856.1,8919.7,9069.6,9204.3,9348.7,9493.7,9645.3,9729.2,9825.6,9950.9,10038,10163,10286,10421,10540,10605,10746,10878,11029,11175,11260
2432.7,2487.9,2700.9,4508.9,5056.6,5469.5,5619.9,5786.2,5946.1,6108.9,6258.9,6415.6,6553.7,6699.9,6855.5,6999.9,7148.2,7275.6,7423.2,7579.3,7740.5,7879.3,8013.1,8101.8,8201.1,8305.4,8441.2,8563.6,8657.1,8785.2,8898.6,8984.2,9120.6,9273.7,9421.2,9569.5,9702.9,9792.8,9888.9,9993.9,10128,10251,10345,10468,10585,10669,10801,10951,11098,11234,11303
