b,c,c,c,c,c,b,c,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,l,l,e,h,d,k,l,b,e,h,d,k,l,h,e,j,i,l,l,d,f,f,i,d,k,l
2101.4,2233.6,2408.2,2815.9,2937.8,3104.1,3259.1,3394.2,3422.8,3542.2,3704.9,3882.2,4000.8,4147.9,4294.6,4450.6,4597.3,4735.6,4871.8,5012.4,5158.5,5299.7,5449.5,5601.2,5752,5839.1,5937.4,6061.8,6154.3,6276.6,6406.3,6544.1,6666.7,6731.1,6879.7,7015.4,7173.6,7260.6,7363.1,7487.7,7580.6,7703.3,7828.2,7965,8088,8152.8,8304.6,8442.6,8593.6,8744.2,8830.2,8927.6,9052.5,9148.2,9276.1,9400.4,9540.2,9661.6,9727.9,9876.4,10010,10166,10317,10405,10505,10633,10726,10852,10978,11118,11240,11304,11602,11740,11852,11977,12043,12194,12331,12443,12565,12631,12825,12938,13070,13184,13310,13376,13567,13887,14025,14178,14265,14367,14494,14588,14717,14846,14991,15105,15178
2124.3,2255.7,2431.7,2841.7,2964.3,3160.8,3314.3,3415,3451.7,3604.7,3768.4,3916.5,4066.7,4201.1,4348.3,4503.6,4650.1,4788.4,4926.5,5065.8,5212.8,5366.8,5521.2,5673.2,5809.2,5903.7,6000.4,6105.5,6246.2,6373.3,6466.4,6596.2,6710.1,6795.3,6932.3,7087.1,7231.8,7325.2,7424.7,7531,7671.9,7799,7887.4,8016.7,8134.7,8217.5,8359.3,8514.2,8662.8,8801.8,8893.7,8996.6,9098.6,9241.5,9368.2,9463.8,9592.3,9708,9791.8,9928.8,10084,10237,10376,10472,10569,10676,10822,10948,11039,11170,11285,11369,11656,11776,11903,12022,12109,12250,12367,12495,12612,12697,12859,12992,13107,13236,13355,13439,13599,13940,14096,14236,14332,14431,14540,14683,14809,14904,15044,15161,15245
