g,g,b,c,b,i,b,b,b,c,b,g,g,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,b,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,g,e,h,d,k,l,b,b,e,h,d,k,l,e
1999.1,2405.8,2588.8,2743.7,2897.7,2974.5,3030.3,3164.2,3322.5,3454.4,3619.8,3925,4094.2,4264.3,4408.6,4548.8,4693.8,4826.6,4959.4,5109.2,5194.1,5289.8,5411.8,5500,5620.1,5739.7,5874.1,5988.1,6055.6,6226.5,6341.8,6483.7,6624.9,6764.4,6902.4,7040.8,7185.1,7318.2,7450.4,7575.4,7718.8,7863.8,8007.8,8092.5,8185.8,8302.3,8389.6,8509.3,8629.8,8761.8,8877.6,8940.4,9084.9,9210.2,9352,9496.4,9639.7,9721.9,9821.6,9938.9,10027,10144,10265,10400,10516,10579,10770,10880,11008,11151,11294,11439,11521,11622,11740,11829,11949,12070,12202,12322,12386,12592,12709,12833,12938,13058,13121,13267,13433,13582,13732,13816,13916,14036,14127,14246,14367,14506,14627,14689,14946,15101,15242,15369,15492,15554,15734,15851,15993,16128,16243,16366,16430,16580
2026.3,2428.9,2620.3,2770.1,2943.6,3007.4,3058.1,3197.3,3352.8,3497.1,3661.1,3954.3,4122.5,4313.5,4460.5,4600.8,4747.2,4894.4,5031.8,5168.2,5256.6,5350.3,5452.8,5588.7,5709.3,5801.3,5922.4,6041.1,6119.7,6263.8,6408.9,6546.9,6691.2,6829.1,6968,7108.2,7240.4,7373.8,7506,7643.3,7790.8,7934.2,8064.5,8153.7,8248.9,8346.6,8483.1,8602.5,8694.2,8813.3,8925.5,9002.6,9138.8,9281.4,9424.4,9569.2,9698,9785.2,9883.7,9983.7,10121,10237,10325,10443,10563,10641,10809,10934,11075,11220,11370,11497,11585,11684,11787,11924,12041,12131,12251,12370,12448,12633,12763,12867,12994,13107,13186,13320,13505,13654,13790,13880,13982,14082,14216,14338,14428,14557,14674,14754,14977,15150,15279,15423,15540,15618,15769,15915,16047,16164,16299,16413,16495,16630
