b,c,c,c,c,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b
2359.3,2624.3,2864.3,3008.3,3148.7,3291.3,3454.9,3607.2,3778.8,3909.5,4083.8,4235.6,4400,4551.8,4704.8,4850.2,4994,5141.8,5292,5435,5571,5721.5,5866.4,6016,6101,6199.1,6319.6,6410.3,6531.6,6652.7,6790.8,6911.2,6974.1,7159.8
2386.5,2649.8,2891.8,3036.3,3185.1,3352.8,3523.1,3672.1,3822.7,3978.7,4148.6,4300.8,4466.2,4616.6,4757.5,4903.9,5047.5,5194.6,5344,5487.8,5638.5,5790,5932.9,6075,6163.3,6261.3,6362.9,6496.9,6619.6,6713.2,6839.4,6959,7038.9,7186.1
