d,c,c,c,c,b,c,b,b,b,b,b,b,e,g,c,b,b,b,b,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,l,l,e,h,d,k,l,b,e
1999,2327.6,2617.6,2900.3,3021.8,3171.9,3329,3654.5,3813.6,3945.2,4113.7,4259.2,4440.2,4611.2,4819.8,4991.1,5119.8,5275.9,5425.3,5585.9,5745,5893.1,6030.5,6183.7,6325.6,6472.9,6623.6,6775.2,6862.8,6959.2,7082.7,7173.4,7295.7,7420.7,7552.5,7674.1,7737.7,7889,8023.4,8172.3,8324.8,8406.4,8505.2,8632.3,8721.1,8846.2,8972.1,9106.9,9232.6,9295.7,9451.3,9577.7,9686.3,9809.8,9875.1,10059,10173
2026.7,2350,2639.2,2929.5,3052.5,3203,3356.9,3695.2,3848.8,4010.5,4178.1,4324.2,4500.8,4663.2,4846,5021.9,5179.4,5334.3,5490.7,5646.3,5810.8,5947.4,6084.3,6235.3,6378.2,6539.2,6696,6830.1,6924.2,7024.9,7123.9,7265.5,7384.3,7477.5,7603.2,7718.5,7799.9,7942.7,8095.7,8246.3,8381.1,8469.2,8567.2,8673.9,8814.2,8935.6,9032.4,9158.1,9276.6,9358.7,9502.3,9611.1,9738.1,9851.9,9936,10094,10225
