b,c,c,b,c,c,b,c,c,b,b,b,b,b,b,b,b,b,g,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,g,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,j,j,i,l,l,d,f,f,i,d,l,l,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,g,e,h,d,h,g,e,i,j,i,l,l,d,f,f,i,d,k,l,g,e
2928.9,3067.7,3218.5,3361.7,3508.6,3651.7,3843.8,3965.5,4103.1,4217.1,4378.7,4535.9,4687.1,4846.3,4998.6,5135.1,5294.4,5452.3,5612.2,5746.8,5890,6030.5,6169.6,6309.7,6446.4,6588,6733.5,6882.7,7033.1,7115.4,7213.6,7332.8,7422.5,7543.1,7663.8,7796.3,8198.4,8350.3,8492,8616.7,8763.5,8912.6,9063.8,9146.4,9240.9,9362.7,9451.6,9571.9,9694.1,9825,9945.2,10008,10175,10287,10416,10562,10704,10855,11001,11081,11179,11300,11389,11508,11629,11764,11884,11946,12090,12215,12327,12448,12510,12658,12787,12932,13082,13163,13262,13382,13472,13594,13715,13846,13967,14029,14293,14433,14565,14678,14801,14953,15092,15175,15376,15533,15617,15721,15837,15927,16047,16168,16306,16425,16487,16734,16887
2951,3094.2,3251.7,3388.4,3541.9,3683.2,3879.5,3998.7,4140.8,4283.1,4443.4,4604.8,4751.7,4913.6,5063.3,5202.7,5361.9,5516.1,5634.3,5800.1,5942.8,6084,6223.2,6365.2,6519.1,6663.7,6808.9,6960.2,7093.5,7178.4,7279.3,7375.3,7513.8,7630.7,7724.4,7847.2,8229.9,8405.6,8547.9,8692.2,8838,8990.4,9122.9,9210,9307.8,9409.4,9545.8,9665.6,9752.5,9877.2,9993.7,10072,10216,10344,10493,10635,10781,10932,11062,11146,11243,11345,11481,11596,11689,11815,11933,12011,12145,12251,12379,12499,12574,12715,12862,13006,13140,13226,13323,13426,13565,13687,13774,13898,14016,14096,14318,14484,14598,14730,14838,14981,15144,15299,15451,15593,15681,15783,15883,16021,16139,16229,16356,16475,16553,16765,16944
