l,l,l,i,l,i,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,l,i,l,i,w,r,i,l,i,w,r,n,n,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1992,2144.6,2383.8,2570.3,2913.9,3058,3389.4,3565.3,3726.4,3927.4,4077.4,4312.8,4434.9,4690.3,4840,5203.4,5333.8,5530.1,5639.5,5788,5961.6,6150.7,6266.3,6375.4,6446.3,6561.5,7236.9,7419.6,7522.6,7675.7,7775.2,7844.8,7961.8,8527.7,8647.8,8855,8965.4,9101.5,9290.7,9761.7,9932.3,10030,10166,10351,10537,10653,10771,10833,10948,11583,11712,11897,11995,12149,12319,12497,12615,12725,12796,12912,13142,13260,13370,13442,13558,13777,13896,14005,14104,14187,14292,14366,14483,14911,15109,15211,15345,15538,15718,15835,15947,16044,16128,16232,16306,16425,17175,17402,17509,17642,17830,18016,18132,18244,18342,18426,18530,18603,18725
2027.5,2183.2,2420.7,2616.9,2950.2,3104.5,3436,3601,3772.3,3963.6,4123.6,4348.7,4485.3,4727.8,4890.1,5240.4,5382.9,5568.9,5698.1,5905.6,6042.2,6224,6338.3,6441.1,6502.8,6641.3,7282.2,7458.6,7585.4,7729.3,7837,7901.2,8046.1,8566.8,8698.1,8893.9,9025.5,9227.4,9365.1,9808.2,9971.4,10089,10295,10434,10607,10725,10825,10888,11028,11620,11762,11936,12057,12263,12399,12571,12687,12787,12852,12993,13215,13334,13430,13498,13640,13848,13969,14068,14160,14242,14351,14420,14562,14957,15150,15271,15483,15621,15791,15908,16009,16100,16183,16295,16362,16508,17223,17442,17577,17775,17907,18092,18207,18309,18399,18483,18596,18661,18807
