l,l,l,l,l,i,l,i,l,i,w,r,n,n,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,i,w,r,n,n,a,d,f,a,b,r,l,i
2167.5,2317.8,2510.2,2740.2,2892.8,3121.7,3583.3,3715.8,3898.7,4009.1,4155.7,4317.9,4485.9,4600.4,4710.2,4783.7,4897.1,5709,5839.8,6071.9,6200.3,6464.1,6578.5,6789.2,6887.3,7039.4,7201.9,7364.2,7477.1,7586.2,7661,7773.3,8111.8,8305.6,8403.4,8553.8,8722.7,8869.6,8987.6,9097.2,9193.6,9275.6,9379.6,9450,9564.3,10133,10276,10372,10528,10696,10850,10969,11076,11149,11267,11606,11932,12074,12252,12397,12515,12625,12721,12804,12910,12984,13097,13536,13659
2199.9,2354.1,2546.6,2776.2,2928.9,3167.8,3617.4,3763.8,3933,4066.7,4263.9,4390.1,4557.3,4670.2,4767.3,4836.7,4973.5,5744.6,5889.1,6107.3,6248.8,6498.8,6628.4,6824.7,6946.1,7141.5,7276.7,7433.3,7547.5,7643,7708.4,7848.4,8154.9,8343.2,8460.4,8669.1,8794.6,8939.3,9056.4,9154.9,9245.8,9326.9,9436.5,9501,9637.3,10177,10313,10431,10636,10775,10920,11043,11135,11201,11340,11650,11988,12193,12326,12468,12586,12682,12774,12851,12967,13032,13169,13567,13706
