l,l,l,l,l,l,l,l,l,i,l,i,l,i,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
777.22,1059,1277.8,1435.7,1605,1768.5,1976.9,2209.1,2374.4,2552.2,2951.6,3078.7,3254.9,3372.8,3534.1,3635.9,3707.8,3822.2,4291.7,4440.2,4573.8,4803.9,4912.6,5060.4,5224.1,5403.8,5521.2,5627.2,5700.1,5812.5,5995.6,6111.1,6219.8,6290.9,6405.9,6618.1,6736,6843.7,6940.4,7022,7128.1,7197.5,7313.9,7842,7956.4,8091.4,8276.3,8442.4,8562.2,8671.4,8743.2,8861.5,9231.2,9402.9,9504,9659.2,9828.4,9990,10108,10218,10289,10406,10583,10703,10812,10911,10994,11097,11169,11285,11632,11850,11950,12087,12274,12458,12574,12683,12779,12862,12970,13040,13159,13903,14039,14241,14339,14476,14666,14851,14968,15078,15177,15260,15364,15437,15554,16229,16348,16554,16663,16811,16992,17163,17280,17390,17491,17574,17680,17753,17873,18392,18552,18648,18799,18970,19144,19264,19374,19473,19556,19664,19739,19852
836.54,1114.6,1310,1470,1639.6,1801.5,2016.2,2243.2,2409.4,2596.6,2986.1,3126.1,3289.3,3422.6,3589.5,3693.3,3761,3908.2,4336.1,4477.3,4622.6,4841.7,4969.8,5170.2,5298.2,5475.8,5591.8,5685.2,5753.4,5891.8,6069,6183.2,6277.3,6344.5,6481.1,6690.3,6815,6905.3,6994.2,7076.2,7190.2,7254,7390.3,7877,8018,8215.8,8356.6,8519.2,8634.2,8731.7,8797.4,8941.7,9276.5,9442.1,9564.1,9769.9,9903.1,10066,10181,10277,10344,10489,10658,10779,10874,10965,11046,11156,11225,11365,11679,11889,12011,12217,12356,12534,12647,12743,12832,12916,13028,13094,13235,13936,14086,14279,14397,14608,14746,14925,15042,15141,15233,15312,15423,15490,15632,16265,16398,16593,16724,16937,17068,17238,17355,17454,17546,17630,17743,17807,17950,18436,18586,18705,18911,19044,19217,19335,19433,19527,19608,19721,19787,19928
