l,l,l,l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,b,r
1995.2,2983.2,3600.9,3750,3926.6,4094.7,4348,4706.1,4904.2,5042.4,5207.6,5330.8,5537.7,5655.7,5927.6,6074.9,6293.2,6389.3,6542.8,6709.7,6900.3,7018.5,7125.9,7224,7305.8,7411,7482.5,7598.4,8099.2,8264.8,8365.2,8518.7,8685.2,8846.8,8964.4,9074.8,9146.2,9262.2,9776.8,10057,10208,10381,10563,10679,10789,10885,10968,11071,11143,11262,11596,11780,11941,12043,12187,12367,12545,12664,12770,12866,12949,13053,13124,13245,13671,13778,13932,14096,14302,14415,14525,14598,14714
2032.1,3014.3,3631.6,3781.2,3968.5,4129.8,4382.4,4751.8,4937.2,5091.1,5239.7,5380.5,5569,5706.8,5961.1,6121,6324.4,6447.4,6652.6,6783.4,6974.8,7089.3,7187.1,7276.5,7358,7470.2,7535.7,7672,8146.2,8300,8423.1,8626.2,8759.4,8920.1,9036.6,9133,9199.6,9335.7,9821.9,10116,10318,10455,10636,10749,10846,10937,11015,11128,11196,11337,11629,11830,11977,12102,12307,12437,12618,12734,12829,12916,12996,13109,13175,13318,13703,13836,14035,14170,14372,14487,14582,14650,14787
