l,l,l,i,l,i,l,i,l,i,l,i,l,w,r,n,n,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r
1981.9,2125.3,2328.9,2491.9,2668.2,2817,3028.4,3168.4,3327.3,3457.9,3607.8,3766.9,3954.7,4214.4,4377,4567.8,4684.2,4791.1,4864.9,4978,5528.7,5657.7,5856.8,6005.4,6237.1,6338.3,6477.9,6655.3,6837.9,6956.4,7063.1,7136,7251.5,7531.8,7763.9,7893,8025.3,8125.5,8282.4,8451.5,8651.8,8768.3,8877.2,8952.8,9066.2,9595.2,9716,9870.3,9976.8,10129,10300,10469,10588,10696,10770,10886,11193,11345,11442,11598,11762,11947,12064,12174,12248,12364,12771,12981,13083,13235,13407,13568,13691,13802,13880,13995
2017.2,2161.5,2364.2,2537.7,2704.8,2862.8,3063.2,3213.5,3364.1,3504.4,3643,3812.2,3988,4321,4449.2,4636.4,4754.8,4850.5,4915.4,5051.4,5563.3,5705.1,5894.1,6051.9,6273.2,6397.6,6598.8,6728.2,6907.1,7023.8,7120.5,7185.4,7324.7,7578.3,7799.9,7942.9,8057.8,8185,8392.8,8525.5,8722.8,8838.2,8936.1,9001.3,9142.6,9628.4,9765.1,9908.8,10036,10241,10382,10541,10657,10753,10819,10959,11238,11379,11500,11701,11836,12016,12133,12231,12299,12437,12816,13016,13144,13348,13482,13645,13766,13861,13930,14069
