l,i,l,i,l,i,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,i,w,r,n,n,a,d,f,a,b,r
34.782,171.97,566.65,686.95,906.45,1074.6,1533.7,1706.7,1837.6,1987.1,2107.7,2260.7,2428.3,2593.5,2707.6,2814.6,2887,3003.6,3579.6,3769.2,3868.8,4021.4,4189.8,4391.8,4508,4615.4,4688.6,4808.3,5013.6,5129.9,5237.3,5311.1,5425.4,5938.8,6059.7,6210.7,6312.4,6465.1,6634.2,6813.6,6931.4,7040.7,7114.2,7228.4,7407.6,7526.5,7636.3,7710.3,7825.8,8231.3,8459.7,8616.1,8783.2,8955.1,9075.2,9186.3,9285.7,9369.4,9472.8,9547.8,9670.8
81.215,239.51,598.3,754.49,954.99,1118.3,1578.1,1740,1884.2,2020.7,2170.2,2370.3,2501.2,2664.9,2777.6,2872.6,2939,3075.4,3623.3,3803.5,3926.2,4132,4262.6,4460.3,4577.8,4672.9,4738.3,4877.8,5084.1,5199.2,5296.6,5365.3,5502.7,5973,6107.6,6247.9,6368.9,6573.4,6706.5,6886.6,7002,7099.5,7169.2,7305.5,7480.8,7600.6,7695.2,7759.7,7900.6,8272.8,8518.1,8719.8,8858,9027.1,9151.9,9248.4,9340,9417.8,9528.8,9597.4,9741
