l,l,l,l,i,l,i,l,i,l,i,l,i,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,l,i,l,i,l,i,w,r,i,l,i,w,r,n,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
908.76,1089,1277.9,1607.6,1765.8,1985.1,2149.2,2370.2,2516.7,2762.6,2925.6,3111.2,3270.1,3768.1,4014.1,4156.5,4334.9,4443.7,4598.8,4767.3,5020.2,5142.2,5251.2,5324.6,5441.4,6004.2,6200.8,6308.8,6444.9,6627.3,6801.5,6921.4,7032.9,7107.4,7222.1,7805.8,7935.4,8217.8,8325.3,8479.2,8650.6,8850.7,8968.4,9079.2,9178.8,9262.8,9368.3,9442.9,9560,9908.7,10137,10235,10374,10582,10768,10894,11005,11103,11188,11295,11368,11489,12070,12300,12434,12958,13077,13251,13372,13518,13700,13893,14014,14129,14214,14330,15234,15391,15639,15780,15932,16055,16216,16384,16826,16995,17095,17249,17422,17560,17677,17751,17870,18576,18708,18932,19064,19286,19407,19546,19733,19902,20026,20138,20238,20323,20431,20505,20625,21301,21440,21600,21733,22041,22159,22302,22492,22686,22810,22922,23024,23107,23215,23289,23409
979.08,1141.7,1343.9,1669.1,1822.9,2021,2191.4,2400.6,2561.4,2798.9,2971.9,3146.2,3317.7,3815.8,4053.8,4205,4372.7,4508.1,4708.7,4842.5,5091.9,5214.6,5310.5,5379.1,5525.7,6051.1,6238.2,6371.8,6567.8,6706,6875.4,6992.8,7091.5,7161.4,7299.7,7841,7984.8,8255.1,8381.8,8589.5,8726.6,8922.4,9041,9140.2,9232,9314.9,9424.8,9488.4,9635.6,9956.5,10174,10297,10512,10661,10845,10966,11067,11159,11244,11356,11424,11566,12117,12335,12484,12994,13127,13290,13431,13642,13783,13970,14090,14192,14262,14408,15267,15438,15678,15829,15971,16109,16328,16461,16875,17035,17155,17364,17501,17637,17741,17808,17947,18611,18759,18970,19113,19325,19467,19676,19810,19977,20097,20198,20295,20376,20490,20557,20705,21337,21486,21639,21783,22078,22221,22432,22574,22760,22883,22983,23079,23164,23277,23346,23487
