l,l,l,i,l,i,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1638.7,1987.2,2265.6,2419.3,2715.3,2844.8,3256.3,3452.4,3556.3,3707,3872.5,4044.2,4158.8,4269,4365.5,4446.8,4551,4621.9,4738,5071.8,5288.5,5402.2,5533.7,5718.7,5885.6,6000.2,6108.5,6178.6,6294.9,6498.4,6616.4,6726.2,6821.8,6903,7008.9,7078.8,7197.6,7395.2,7511.5,7621.4,7700,7811.1,8116.8,8263.1,8358.9,8512.4,8683.5,8853.9,8975,9084.6,9180.2,9262.8,9366.9,9439.9,9557.3,10195,10390,10489,10627,10816,11000,11117,11228,11312,11423,11785,11916,12020,12158,12344,12563,12684,12793,12890,12972,13077,13149,13267
1670,2019.5,2302.5,2464.4,2748.6,2890.8,3301.2,3487.4,3617.1,3820.2,3954.4,4116.6,4230.8,4329.2,4419.1,4502.3,4609.2,4673.7,4815.9,5120.8,5326.8,5467.1,5658.8,5794,5955.9,6070,6170.5,6235.1,6378.6,6572.8,6689.3,6787.9,6877.6,6958.9,7066,7131.4,7280.2,7467.1,7582.9,7679.3,7747.2,7886.6,8163.1,8298.2,8419.5,8625.2,8756.6,8930.6,9047.7,9144.8,9235.2,9316.2,9426.8,9493.3,9637.9,10242,10429,10550,10758,10894,11072,11191,11291,11360,11502,11832,11952,12080,12287,12421,12636,12758,12853,12946,13028,13139,13203,13343
