l,l,l,l,l,l,l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
340.65,507.05,702.65,892.4,1146.4,1339,1642.7,1993.2,2162.7,2932,3091.7,3548.4,3716,3895.6,4040.1,4547,4687.3,4913.7,5067.6,5427.4,5588.5,5777.7,5921.4,6140.7,6298.2,6493.2,6593.8,6744.3,6913.3,7133.6,7254.9,7365.3,7436.6,7554.5,8203.7,8404,8531.2,8764.4,8886.8,9029,9132.5,9205.2,9321.1,9740.4,9933.4,10040,10177,10359,10550,10670,10782,10881,10964,11070,11143,11263,11488,11609,11720,11818,11904,12008,12082,12203,12606,12799,12904,13061,13236,13397,13520,13631,13731,13816,13924,13997,14118
384.44,530.41,755.19,942.03,1181.4,1371.2,1680.6,2025.8,2200.1,2964,3137.9,3587.9,3761.5,3932.2,4087.5,4580.8,4733.4,4951.8,5114.6,5462.1,5637.7,5812.7,5970.8,6177.1,6345.3,6530.7,6654.2,6856,6988.8,7204.5,7324.6,7424.7,7492.6,7632.3,8249.1,8441.5,8579.9,8801.5,8936.9,9086.8,9192.6,9261.9,9397.1,9787.1,9972.7,10098,10303,10435,10623,10742,10843,10937,11019,11130,11196,11339,11563,11681,11782,11873,11958,12067,12135,12278,12653,12839,12964,13175,13311,13471,13593,13694,13786,13870,13983,14051,14197
